Loc,NIR Sample Number,Analysis Date,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Ligin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
OR_19,46,11/6/19,30217,E: 202,3,94.09611,20.20940,32.40974,37.81688,8.78054,2.11157,5.48888,14.74383,76.93671,17.65113,79.62585,1.19022,0.31472,2.79502,0.31578,6.94266,7.23249,3.76499
OR_19,51,11/6/19,30309,E: 202,3,95.81673,20.82578,33.22616,39.04917,8.80104,2.03566,5.69486,15.60755,76.19370,18.85246,78.98470,1.22748,0.32457,2.70353,0.30952,6.98888,7.11018,3.78840
OR_19,41,11/6/19,30311,E: 144,3,95.76498,19.02776,33.53061,39.50560,8.69663,1.88546,5.61635,15.57474,76.12881,18.93815,78.57442,1.08924,0.30660,2.89432,0.26738,7.11150,7.40312,4.43461
OR_19,39,11/6/19,30317,E: 104,3,95.65934,20.43202,32.94509,38.70063,9.55618,1.97752,5.59135,15.32157,76.07595,18.44563,78.63291,1.22794,0.31596,2.84360,0.31282,7.06665,7.35890,3.70495
OR_19,53,11/6/19,30320,E: 201,3,94.60877,19.60179,34.75690,40.77176,9.60517,2.06061,5.87963,16.75582,75.78950,19.71276,78.93588,1.17284,0.33557,3.28271,0.28939,6.06156,6.87896,3.01585
OR_19,38,11/6/19,30406,E: 201,3,94.61935,18.99703,34.90210,40.94151,9.80880,1.93402,5.85720,16.30965,75.20084,19.36114,78.21037,1.18764,0.33071,3.29148,0.27706,5.91141,6.80347,3.43133
OR_19,48,11/6/19,30410,E: 44,3,94.43002,19.88841,34.68156,39.76379,9.16969,2.00937,5.92946,15.50792,75.38054,18.39898,78.01190,1.16403,0.32996,3.04237,0.28769,6.62659,6.99106,3.61844
OR_19,43,11/6/19,30413,E: 202,3,94.29469,20.89902,32.58000,38.14487,8.80050,2.16989,5.68892,14.93832,76.58004,17.72681,79.31475,1.25713,0.33063,2.63637,0.34661,6.95409,7.23471,3.55219
OR_19,37,11/6/19,30414,E: 112,3,94.09917,20.40217,30.69608,35.58400,9.71976,2.24888,4.94814,14.51423,79.33405,17.58594,81.46365,1.21847,0.33530,3.13212,0.31201,6.38834,7.27558,4.62698
OR_19,34,11/6/19,30505,E: 201,3,95.65910,20.44658,31.74291,38.17422,8.83037,1.95418,5.46404,15.61597,77.42274,18.74955,79.36364,1.13943,0.32675,2.64162,0.29839,6.70235,7.33240,4.71282
OR_19,30,11/6/19,30508,E: 202,3,94.38074,20.11034,32.18765,37.81862,9.81564,2.03260,5.30918,15.00382,76.94435,17.90337,79.58190,1.27490,0.32315,3.14494,0.29825,6.70590,7.68137,3.94054
OR_19,31,11/6/19,30601,E: 201,3,95.68306,20.51058,32.13880,38.89203,8.37834,2.11178,5.59315,15.80846,77.39040,19.21902,79.69098,1.17796,0.32519,2.64757,0.30753,6.77121,6.89931,4.31661
OR_19,33,11/6/19,30612,E: 202,3,94.37681,19.41832,32.68765,37.88481,9.85713,2.15228,5.43375,14.90981,77.06529,17.55901,79.31248,1.30241,0.31755,2.92903,0.30323,6.67920,7.48006,3.96123
OR_19,49,11/6/19,30704,E: 201,3,94.61079,19.68791,33.25046,38.63848,9.67255,2.05494,5.59918,15.80920,76.68320,18.53370,79.64276,1.29735,0.32053,2.99449,0.31140,6.71445,7.50376,3.27259
OR_19,36,11/6/19,30719,E: 202,3,95.97616,20.51857,31.84034,37.55799,9.90834,2.06603,5.20209,15.37978,77.65117,18.97917,80.23631,1.10682,0.33599,3.38808,0.25643,6.51536,7.05007,3.99908
OR_19,54,11/6/19,30807,E: 201,3,96.02657,18.99020,34.72427,41.22960,9.48116,1.88865,5.78814,16.80198,75.19270,20.48512,78.43899,1.10141,0.32369,3.26871,0.25200,6.07023,6.52285,3.96889
