Year,ID,Gen,Variety,Moist,DM,Cprot,Psolu,ADICP,ADICP_pct,NDICP,CP_Av,ADF,aNDF,aNDFo,Ligin,Starc,Su_WS,Su_ES,Ash,Ca,P,Mg,K,S,Fat,T_NDFd30,T_NDFd48,NDFD120,NDFD240,S_NDFd24,S_NDFd30,NDF_I,NDF_Kd,TTNDFD,S_NDFd48,uNDF30,uNDF120,uNDF240,RUP,NDF_D,RFV,T_RFQ,S_RFQ,TTNDFD,NFC,T_Milk30_TDN,T_Milk30_NEL,T_Milk30_NEG,T_Milk30_NEM,T_Milk30,T_Milk48_TDN,T_Milk48_NEL,T_Milk48_NEG,T_Milk48_NEM,T_Milk48_S,S_Milk30_TDN,S_Milk30_NEL,S_Milk30_NEG,S_Milk30_NEM,S_Milk30,S_Milk48_TDN,S_Milk48_NEL,S_Milk48_NEG,S_Milk48_NEM,S_Milk48_S,Lig_TDN,Lig_NEL,Lig_NEG,Lig_NEM,NRC,Cal_TDN,ADF_TDN,ADF_NEL,ADF_NEG,ADF_NEM
18,10211,78,452475,4.98,95.02,21.69,30.48,0.49,2.25,0.9,21.2,33.45,40.13,37.45,6.79,1.63,7.05,5.93,9.45,1.23,0.29,0.33,2.41,0.28,1.99,46.61,58.58,59.72,60.86,27.83,31.83,39.14,3.53,38.5,46.36,21.42,16.16,15.71,24.7,5.48,146,163.26,142.29,39.4,27.64,61.23,0.62,0.37,0.64,2783.68,60.99,0.62,0.37,0.63,2872.98,57.82,0.61,0.32,0.58,2546.87,58.77,0.61,0.33,0.59,2714.16,60.21,0.66,0.36,0.62,2.35,,,,,
18,10212,3,173738,4.97,95.03,18.92,26.73,0.52,2.76,0.76,18.4,34.9,43.22,40.12,7.31,2.11,7.32,7.27,8.58,1.22,0.25,0.35,1.88,0.26,1.74,43.3,51.01,54.65,58.52,21.92,25.49,41.48,3.5,36.9,42.23,24.51,19.6,17.93,26.51,5.09,133,132.54,120.39,36.13,28.29,58.85,0.6,0.33,0.59,2628.1,57.44,0.59,0.31,0.57,2655.98,53.29,0.58,0.24,0.49,2289.3,56.05,0.59,0.29,0.54,2541.69,58.9,0.65,0.34,0.6,2.3,,,,,
18,10213,82,440506,5.1,94.9,18.07,24.31,0.45,2.51,0.72,17.62,35.87,44.03,41.27,7.49,2,7.12,6.35,9.52,1.21,0.26,0.32,2.25,0.24,1.75,42.95,51.79,53.21,55.97,26.85,29.29,44.03,3.81,36.6,43.82,25.12,20.6,19.39,24.94,5.7,129,129.12,118.71,37.12,27.35,57.37,0.58,0.31,0.57,2506.28,56.37,0.58,0.29,0.55,2554.92,53.89,0.57,0.25,0.5,2271.91,55.3,0.57,0.27,0.53,2457.32,57.55,0.63,0.31,0.57,2.23,,,,,
18,10214,201,22338_VernalFD2,4.84,95.16,20.22,27.39,0.47,2.34,0.81,19.75,34.39,41.54,37.86,6.94,1.63,6.97,5.78,9.99,1.25,0.29,0.3,2.58,0.26,1.9,48.1,58.9,59.81,60.72,28.68,31.74,39.28,4.01,40.5,47.98,21.56,16.7,16.32,22.88,5.8,139,155.84,137.9,40.67,27.16,60.53,0.6,0.36,0.63,2696.24,59.77,0.6,0.35,0.61,2760.75,56.32,0.59,0.29,0.55,2423.76,57.94,0.59,0.32,0.58,2624.39,58.86,0.65,0.33,0.59,2.32,,,,,
18,10215,34,467982,5.42,94.58,20.95,28.58,0.4,1.9,0.66,20.55,29.8,36.79,34.07,5.84,2.91,7.74,7.08,9.18,1.17,0.29,0.31,2.34,0.29,2.11,49.22,60.6,62.2,63.81,26.52,29.83,36.19,3.02,37.6,45.29,18.68,13.91,13.32,24.52,4.96,166,187.28,158.41,38.69,31.62,64.19,0.65,0.42,0.69,3011,63.6,0.65,0.41,0.68,3082.91,59.2,0.63,0.34,0.6,2686.42,60.61,0.64,0.36,0.63,2879.13,62.95,0.68,0.4,0.67,2.41,,,,,
18,10216,156,Swift,5.33,94.67,21.63,32.18,0.44,2.03,0.6,21.19,31.42,38.58,35.32,6.28,2.16,7.4,6.48,8.69,1.18,0.3,0.34,2.3,0.29,1.94,47.12,58.32,59.41,63.98,25.65,30.47,36.02,3.12,38.3,45.56,20.4,15.66,13.9,24.6,5,155,172.06,149.59,39.01,29.77,62.73,0.64,0.4,0.67,2909.09,62.23,0.64,0.39,0.66,2984.76,58.6,0.62,0.33,0.59,2633.1,59.88,0.63,0.35,0.61,2817.39,62,0.68,0.39,0.65,2.39,,,,,
18,10217,6,170535_Yonca,5.11,94.89,18.57,25.32,0.5,2.69,0.81,18.07,37.02,45.42,42.54,7.76,1.43,6.66,5.59,9.47,1.25,0.26,0.34,2.24,0.24,1.7,43.34,51.78,53.77,56.64,26.06,28.5,43.36,3.91,37.4,44.14,25.74,21,19.69,24.49,5.67,123,123.69,114.06,37.43,25.65,56.82,0.57,0.3,0.56,2451.89,55.61,0.57,0.28,0.53,2491.13,52.62,0.56,0.23,0.48,2185.28,54.63,0.56,0.26,0.52,2399.23,56.73,0.62,0.3,0.55,2.2,,,,,
18,10218,52,491406,4.83,95.17,17.49,24.54,0.4,2.32,0.46,17.08,34.51,42.65,39.07,6.88,2.48,7.5,7.29,9.39,1.08,0.25,0.27,2.56,0.23,1.9,45.55,55.91,56.14,60.37,25.99,29.54,39.63,3.36,37.4,44.6,23.22,18.71,16.9,24.78,5.24,135,145.02,126.57,37.99,29.03,59.44,0.6,0.34,0.61,2641.43,58.74,0.6,0.33,0.59,2707.15,55.05,0.58,0.27,0.52,2361.55,56.58,0.59,0.3,0.55,2554.68,59.06,0.64,0.34,0.6,2.29,,,,,
18,10219,90,346911,5.2,94.8,19.63,27.47,0.38,1.94,0.51,19.25,30.71,37.88,34.93,6.02,2.91,7.63,7.46,9.52,1.16,0.27,0.28,2.64,0.26,2.2,48.41,62.12,62.27,62.43,31.48,34.71,37.57,3.73,40.4,49.37,19.54,14.29,14.23,23.93,5.8,160,184.27,161.2,41.79,31.28,63.13,0.64,0.41,0.67,2926.49,63.29,0.64,0.41,0.68,3036.57,60.52,0.63,0.36,0.63,2726.79,61.11,0.63,0.37,0.64,2879.21,62.09,0.67,0.39,0.65,2.37,,,,,
18,10220,140,464793,4.93,95.07,19.24,28.92,0.52,2.7,0.62,18.72,34.66,42.41,38.9,7.25,2.11,7.11,6.89,9.03,1.2,0.26,0.34,2.3,0.26,1.75,43.83,53.58,54.61,58.97,27.04,30.19,41.03,3.41,36.8,44.47,23.82,19.25,17.4,24.13,5.39,136,140.93,127.73,37.78,28.19,59,0.6,0.34,0.6,2632.09,58.25,0.6,0.32,0.58,2693.94,55.72,0.59,0.28,0.54,2405.41,56.86,0.59,0.3,0.56,2579.33,58.8,0.65,0.33,0.59,2.3,,,,,
