trait,FD,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
Mg,3,0.351537186772188,0.00440930781004458,0.360443290379762,0.342631083164614,Estimable
Mg,4,0.346784898252956,0.00426970765990187,0.355409031661495,0.338160764844417,Estimable
Mg,5,0.355656906320538,0.00441109229296093,0.364566614301048,0.346747198340027,Estimable
Mg,6,0.364315328758013,0.00432905789571397,0.373059340245391,0.355571317270636,Estimable
P,1,0.33380074287855,0.00253311275374802,0.338795931150631,0.328805554606469,Estimable
P,2,0.327694046618693,0.000787695033586083,0.329247346995048,0.326140746242339,Estimable
P,3,0.325764196922295,0.00252015673915762,0.330733836496617,0.320794557347973,Estimable
P,4,0.330159472887773,0.00242569478185403,0.334942837587207,0.325376108188339,Estimable
P,5,0.332251007330137,0.00251155528758987,0.33720368521575,0.327298329444524,Estimable
P,6,0.317333745397018,0.00247090643831302,0.322206265518283,0.312461225275753,Estimable
RFV,1,187.226839944518,2.33025304499749,191.843271418949,182.610408470087,Estimable
RFV,2,177.965760309327,0.86834697020433,179.686030257084,176.24549036157,Estimable
RFV,3,177.181473573425,2.29691712322784,181.731863722938,172.631083423912,Estimable
RFV,4,180.533474120537,2.3855515340967,185.259456652573,175.807491588501,Estimable
RFV,5,173.494200595791,2.29873818200484,178.048198419188,168.940202772394,Estimable
RFV,6,175.274069895088,2.39370415009771,180.016203459813,170.531936330362,Estimable
Starch,1,2.57919976048194,0.097312659936592,2.77140122369723,2.38699829726665,Estimable
Starch,2,2.53672072083657,0.0308577828044917,2.5976676830352,2.47577375863795,Estimable
Starch,3,2.43344643093178,0.097220706757755,2.62546627815249,2.24142658371107,Estimable
Starch,4,2.70592336507087,0.0950142812952532,2.89358531885156,2.51826141129018,Estimable
Starch,5,2.48661210126436,0.096690927790814,2.67758558624717,2.29563861628155,Estimable
Starch,6,2.77031771611582,0.0983851281226003,2.96463740274353,2.57599802948811,Estimable
Su_ESC,1,6.83066924038357,0.092068804663307,7.01846943873007,6.64286904203708,Estimable
Su_ESC,2,6.60534948845859,0.0287946802689419,6.66408433014146,6.54661464677571,Estimable
Su_ESC,3,6.80657778435928,0.0913105239403267,6.99283125609518,6.62032431262338,Estimable
Su_ESC,4,6.86458080345889,0.090572379917039,7.04932862304162,6.67983298387616,Estimable
Su_ESC,5,6.6452044277206,0.0912977212850405,6.83143178484351,6.45897707059768,Estimable
Su_ESC,6,7.04097252284789,0.0927425752458445,7.23014706562629,6.8517979800695,Estimable
Su_WSC,1,8.61168394268552,0.0812198231215673,8.77674248227208,8.44662540309896,Estimable
Su_WSC,2,8.28299093597431,0.0247694711140093,8.33332855764446,8.23265331430416,Estimable
Su_WSC,3,8.46464401776267,0.0803521392977739,8.6279392116625,8.30134882386284,Estimable
Su_WSC,4,8.40419250865908,0.0794893295493294,8.56573426218505,8.2426507551331,Estimable
Su_WSC,5,8.27093845074997,0.0802599644214308,8.43404632276346,8.10783057873648,Estimable
Su_WSC,6,8.59836469280856,0.0813613242663909,8.76371079731975,8.43301858829737,Estimable
