trait,variable,cv,max,mean,median,min,sd.amo,se,ci
IVTDMD30,OR_3,0.1956,77.7799,77.5593,77.5352,77.3797,0.1517,0.0573,0.1403
IVTDMD30,OR_4,1.5887,82.6874,80.0488,80.0631,78.7836,1.2717,0.4807,1.1761
IVTDMD30,WA_2,0.1581,78.859,78.6664,78.6489,78.5457,0.1243,0.047,0.115
IVTDMD30,WA_3,0.1277,80.0784,79.9176,79.8634,79.8208,0.102,0.0386,0.0944
IVTDMD30,WA_4,0.7057,80.9631,80.22,80.2264,79.4686,0.5661,0.214,0.5235
IVTDMD30,WA_5,0.124,80.3038,80.1488,80.1069,80.0483,0.0994,0.0376,0.0919
IVTDMD48,ID_2,0.7764,82.7214,81.516,81.2568,80.9184,0.6329,0.2392,0.5853
IVTDMD48,ID_3,0.1763,82.1156,81.8505,81.7986,81.6811,0.1443,0.0545,0.1335
IVTDMD48,ID_4,0.0614,85.268,85.1922,85.1797,85.1233,0.0523,0.0198,0.0484
IVTDMD48,OR_2,0.1112,83.2513,83.1014,83.065,82.9849,0.0924,0.0349,0.0855
IVTDMD48,OR_3,0.1313,82.884,82.6968,82.6625,82.5632,0.1086,0.041,0.1004
IVTDMD48,OR_4,1.233,84.1712,82.2076,82.2235,81.2867,1.0136,0.3831,0.9375
IVTDMD48,WA_2,0.0582,84.9882,84.909,84.8924,84.8441,0.0494,0.0187,0.0457
IVTDMD48,WA_3,0.0633,85.3615,85.2868,85.2758,85.2167,0.054,0.0204,0.0499
IVTDMD48,WA_4,0.9627,84.7635,83.6757,83.8769,82.2802,0.8056,0.3045,0.745
IVTDMD48,WA_5,0.1205,83.078,82.9106,82.8733,82.786,0.0999,0.0378,0.0924
K,ID_1,8.4287,2.6187,2.3436,2.3587,1.9639,0.1975,0.0747,0.1827
K,ID_2,2.1056,2.5614,2.4554,2.4358,2.404,0.0517,0.0195,0.0478
K,ID_3,0.4008,2.6266,2.6114,2.6115,2.5965,0.0105,0.004,0.0097
K,ID_4,0.4644,2.7566,2.7414,2.7462,2.7199,0.0127,0.0048,0.0118
K,OR_1,1.5376,2.4687,2.4175,2.4083,2.3729,0.0372,0.014,0.0344
K,OR_2,2.8648,3.0062,2.8994,2.9015,2.7941,0.0831,0.0314,0.0768
K,OR_3,0.8584,3.1055,3.0743,3.076,3.0233,0.0264,0.01,0.0244
K,OR_4,0.443,2.5362,2.5211,2.519,2.5044,0.0112,0.0042,0.0103
K,WA_1,5.4957,2.7157,2.5021,2.4594,2.3766,0.1375,0.052,0.1272
K,WA_2,0.5838,2.8685,2.8533,2.8588,2.8218,0.0167,0.0063,0.0154
K,WA_3,0.7252,2.9914,2.9679,2.9715,2.9264,0.0215,0.0081,0.0199
K,WA_4,4.7771,3.0135,2.8317,2.8473,2.5712,0.1353,0.0511,0.1251
K,WA_5,0.4095,2.6741,2.6589,2.6602,2.6447,0.0109,0.0041,0.0101
Lignin,ID_1,2.885,5.5028,5.2313,5.2197,5.0097,0.1509,0.057,0.1396
Lignin,ID_2,3.4677,6.2966,6.0683,6.0974,5.7149,0.2104,0.0795,0.1946
Lignin,ID_3,1.5657,5.8849,5.7855,5.7979,5.6169,0.0906,0.0342,0.0838
Lignin,ID_4,0.2911,4.7657,4.7465,4.7515,4.7246,0.0138,0.0052,0.0128
Lignin,OR_1,1.4014,5.7199,5.6323,5.6426,5.4865,0.0789,0.0298,0.073
Lignin,OR_2,1.0222,5.369,5.3065,5.3125,5.2093,0.0542,0.0205,0.0502
Lignin,OR_3,0.7489,5.1377,5.0918,5.0965,5.0267,0.0381,0.0144,0.0353
Lignin,OR_4,3.8354,5.5809,5.2677,5.2786,4.8948,0.202,0.0764,0.1869
Lignin,WA_1,4.6549,6.0476,5.6765,5.6368,5.2718,0.2642,0.0999,0.2444
Lignin,WA_2,0.4083,4.8645,4.8381,4.8437,4.8108,0.0198,0.0075,0.0183
Lignin,WA_3,0.4246,4.8776,4.8504,4.8559,4.8212,0.0206,0.0078,0.019
Lignin,WA_4,1.9152,5.611,5.4454,5.4728,5.318,0.1043,0.0394,0.0965
Lignin,WA_5,0.7961,5.1766,5.1279,5.1325,5.0573,0.0408,0.0154,0.0378
Mg,ID_1,3.7227,0.3216,0.2993,0.2966,0.287,0.0111,0.0042,0.0103
Mg,ID_2,8.64,0.3956,0.3647,0.3758,0.3184,0.0315,0.0119,0.0291
Mg,ID_3,0.3595,0.382,0.3803,0.3804,0.3783,0.0014,5e-04,0.0013
Mg,ID_4,0.218,0.3764,0.3756,0.3759,0.3744,8e-04,3e-04,8e-04
Mg,OR_1,3.4834,0.3127,0.2998,0.2973,0.2869,0.0104,0.0039,0.0097
Mg,OR_2,0.2291,0.3695,0.3679,0.368,0.367,8e-04,3e-04,8e-04
Mg,OR_3,2.1142,0.3329,0.3246,0.3231,0.3162,0.0069,0.0026,0.0063
Mg,OR_4,2.045,0.334,0.326,0.3245,0.3178,0.0067,0.0025,0.0062
Mg,WA_1,3.5393,0.3119,0.2988,0.2963,0.2858,0.0106,0.004,0.0098
Mg,WA_2,0.7184,0.3578,0.3548,0.3545,0.3519,0.0025,0.001,0.0024
Mg,WA_3,6.6347,0.3498,0.332,0.3371,0.2834,0.022,0.0083,0.0204
Mg,WA_4,6.0641,0.3672,0.3521,0.3622,0.3167,0.0214,0.0081,0.0197
Mg,WA_5,1.9331,0.3358,0.3282,0.3268,0.3205,0.0063,0.0024,0.0059
P,ID_1,3.3405,0.2677,0.2531,0.2511,0.2416,0.0085,0.0032,0.0078
P,ID_2,0.6162,0.3024,0.3007,0.3011,0.2968,0.0019,7e-04,0.0017
P,ID_3,0.2333,0.3253,0.3237,0.3233,0.3231,8e-04,3e-04,7e-04
P,ID_4,0.2785,0.328,0.3262,0.3258,0.3255,9e-04,3e-04,8e-04
P,OR_1,0.2,0.3219,0.3205,0.3202,0.3201,6e-04,2e-04,6e-04
P,OR_2,0.3201,0.33,0.3282,0.3277,0.3274,0.0011,4e-04,0.001
P,OR_3,3.4195,0.3333,0.323,0.3294,0.3046,0.011,0.0042,0.0102
P,OR_4,0.3798,0.3328,0.3308,0.3303,0.3298,0.0013,5e-04,0.0012
P,WA_1,0.4431,0.3356,0.3335,0.3329,0.3323,0.0015,6e-04,0.0014
P,WA_2,0.2009,0.3221,0.3207,0.3204,0.3203,6e-04,2e-04,6e-04
P,WA_3,0.4121,0.3342,0.3322,0.3316,0.3311,0.0014,5e-04,0.0013
P,WA_4,0.2232,0.3245,0.323,0.3227,0.3225,7e-04,3e-04,7e-04
P,WA_5,0.2187,0.3242,0.3226,0.3224,0.3222,7e-04,3e-04,7e-04
Starch,ID_1,1.7494,3.3261,3.2436,3.2274,3.1818,0.0567,0.0214,0.0525
Starch,ID_2,0.3232,3.1147,3.1015,3.1021,3.0889,0.01,0.0038,0.0093
Starch,ID_3,6.5598,3.0334,2.8082,2.8071,2.4651,0.1842,0.0696,0.1704
Starch,ID_4,3.8948,2.8042,2.6749,2.6608,2.5057,0.1042,0.0394,0.0964
Starch,OR_1,0.378,3.1726,3.1561,3.1561,3.143,0.0119,0.0045,0.011
Starch,OR_2,6.9385,3.9766,3.5593,3.4971,3.2202,0.247,0.0933,0.2284
Starch,OR_3,2.0538,3.1834,3.1284,3.137,3.0039,0.0643,0.0243,0.0594
Starch,OR_4,10.437,5.6562,4.6705,4.5597,4.1706,0.4875,0.1842,0.4508
Starch,WA_1,4.4156,2.6754,2.5224,2.5172,2.3767,0.1114,0.0421,0.103
Starch,WA_2,0.3073,3.1275,3.1147,3.1146,3.1021,0.0096,0.0036,0.0089
Starch,WA_3,0.379,3.1729,3.1564,3.1564,3.1433,0.012,0.0045,0.0111
Starch,WA_4,19.929,4.5703,3.4407,3.1293,2.7329,0.6857,0.2592,0.6342
Starch,WA_5,0.712,3.0406,3.0146,3.014,2.9821,0.0215,0.0081,0.0199
Su_ESC,ID_1,6.1828,8.2119,7.5545,7.4507,6.8821,0.4671,0.1765,0.432
Su_ESC,ID_2,4.2989,6.8729,6.2767,6.1781,6.0924,0.2698,0.102,0.2495
Su_ESC,ID_3,1.9819,6.961,6.6818,6.6647,6.5743,0.1324,0.0501,0.1225
Su_ESC,ID_4,6.9592,8.7861,7.7295,7.5941,7.1662,0.5379,0.2033,0.4975
Su_ESC,OR_1,0.7673,6.5008,6.4434,6.4497,6.3737,0.0494,0.0187,0.0457
Su_ESC,OR_2,0.7637,6.5467,6.4932,6.5055,6.4117,0.0496,0.0187,0.0459
Su_ESC,OR_3,1.0866,7.1665,7.0544,7.0484,6.9227,0.0767,0.029,0.0709
Su_ESC,OR_4,2.3165,9.006,8.7216,8.7947,8.4531,0.202,0.0764,0.1869
Su_ESC,WA_1,6.7296,4.5181,4.1564,4.0831,3.7556,0.2797,0.1057,0.2587
Su_ESC,WA_2,0.5305,6.7688,6.7215,6.7197,6.6541,0.0357,0.0135,0.033
Su_ESC,WA_3,0.5251,6.7902,6.7428,6.7444,6.6757,0.0354,0.0134,0.0327
Su_ESC,WA_4,2.1787,7.7169,7.4141,7.4234,7.1821,0.1615,0.0611,0.1494
Su_ESC,WA_5,0.845,7.3189,7.24,7.2641,7.1631,0.0612,0.0231,0.0566
Su_WSC,ID_1,3.4876,7.6462,7.1359,7.1128,6.9011,0.2489,0.0941,0.2302
Su_WSC,ID_2,3.7245,5.4214,5.0216,4.9665,4.8447,0.187,0.0707,0.173
Su_WSC,ID_3,0.8077,6.9404,6.8488,6.843,6.7543,0.0553,0.0209,0.0512
Su_WSC,ID_4,5.3589,8.2229,7.4044,7.3208,7.0053,0.3968,0.15,0.367
Su_WSC,OR_1,0.7366,7.0854,7.0017,6.9964,6.9116,0.0516,0.0195,0.0477
Su_WSC,OR_2,1.1861,6.2772,6.1493,6.1412,6.0345,0.0729,0.0276,0.0675
Su_WSC,OR_3,1.2467,7.3527,7.2103,7.241,7.0981,0.0899,0.034,0.0831
Su_WSC,OR_4,0.3832,7.9865,7.9522,7.9546,7.8896,0.0305,0.0115,0.0282
Su_WSC,WA_1,0.6075,7.3717,7.3037,7.3003,7.2223,0.0444,0.0168,0.041
Su_WSC,WA_2,0.326,8.1982,8.1754,8.1798,8.1193,0.0267,0.0101,0.0247
Su_WSC,WA_3,0.3227,8.2121,8.1901,8.1946,8.1344,0.0264,0.01,0.0244
Su_WSC,WA_4,4.4652,8.8433,8.0525,7.9587,7.7958,0.3596,0.1359,0.3325
Su_WSC,WA_5,0.2633,9.1403,9.1047,9.1064,9.0754,0.024,0.0091,0.0222
