trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
IVTDMD48,FD5:locOR:year2019,80.9293430264316,1.51592725563645,12.4672083484476,53.3860333505609,77.6400971988088,84.2185888540544,4.25350703441396e-16
IVTDMD48,FD6:locOR:year2019,80.2580800490598,1.51592725563645,12.4672083764153,52.9432264976094,76.968834222222,83.5473258758976,4.71693350674148e-16
IVTDMD48,FD1:locWA:year2019,83.7588506412348,1.59775531481167,12.0072556181743,52.4228271154947,80.2778741557948,87.2398271266749,1.50136896131552e-15
IVTDMD48,FD2:locWA:year2019,82.3767539307505,1.59775531481167,12.0072556519264,51.5578031048268,78.895777446395,85.857730415106,1.83187511453601e-15
IVTDMD48,FD3:locWA:year2019,81.8989017520604,1.52213921682601,9.87525272907359,53.8051321763047,78.5015479467161,85.2962555574047,1.60467997706256e-13
IVTDMD48,FD4:locWA:year2019,80.1229274379362,1.59775531481166,12.0072556524104,50.1471825473982,76.6419509535963,83.6039039222762,2.55232858488936e-15
IVTDMD48,FD5:locWA:year2019,80.8528038545417,1.59775531481166,12.0072556056276,50.6039961845298,77.3718273686985,84.3337803403849,2.29010579283736e-15
IVTDMD48,FD6:locWA:year2019,81.4327033400677,1.59775531481166,12.0072556520549,50.9669425506913,77.9517268557163,84.9136798244191,2.10255880114536e-15
IVTDMD48,FD1:locID:year2020,84.9131818181869,2.88643538784794,10.437435998447,29.418008861614,78.5181523244217,91.3082113119521,2.21037089858590e-11
IVTDMD48,FD2:locID:year2020,84.1200000000046,2.88643538784793,10.4374360275038,29.1432125431094,77.7249705085409,90.5150294914683,2.43520738589673e-11
IVTDMD48,FD3:locID:year2020,85.0622727272773,2.76251610908072,8.7459943072352,30.7915933766567,78.7852512882943,91.3392941662604,3.18816495897819e-10
IVTDMD48,FD4:locID:year2020,86.2931818181862,2.88643538784793,10.4374360269891,29.8961072128917,79.8981523266817,92.6882113096907,1.87144515537632e-11
IVTDMD48,FD5:locID:year2020,83.6631818181864,2.88643538784793,10.4374360291524,28.9849487608188,77.2681523268533,90.0582113095196,2.57597840993506e-11
IVTDMD48,FD6:locID:year2020,85.9981818181865,2.88643538784793,10.4374360271564,29.7939050291041,79.6031523266953,92.3932113096777,1.93880639280438e-11
IVTDMD48,FD1:locOR:year2020,77.3045454545491,2.88643538784791,10.437436036867,26.782011397174,70.9095159638271,83.6995749452712,5.81937035878813e-11
IVTDMD48,FD2:locOR:year2020,75.9163636363673,2.88643538784791,10.4374360388045,26.301078470691,69.5213341457988,82.3113931269359,7.01312622819428e-11
