trait,term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
Ash,FD:loc:year,5.18721638901097,0.259360819450548,20,103.048429275986,0.39460829007766,0.990051532940947
Ca,FD,0.401800533390461,0.0803601066780922,5,102.850819246266,7.57188024916865,4.33415207282073e-06
Ca,loc,1.05390029268649,0.526950146343244,2,103.152409290327,49.6515444084234,7.86861301001157e-16
Ca,year,0.554815451839799,0.2774077259199,2,104.938000877218,26.1385676013832,6.14412341601871e-10
Ca,FD:loc,0.229612217707068,0.0229612217707068,10,102.850819230283,2.16350660557042,0.0258575313479637
Ca,FD:year,0.109819808093889,0.0109819808093889,10,102.85081922152,1.03477019910466,0.420000120366106
Ca,loc:year,0.057367315708106,0.0143418289270265,4,103.110914494569,1.35134976393844,0.25609309787311
Ca,FD:loc:year,0.167521904342408,0.00837609521712041,20,102.850819220155,0.78923227657885,0.720758747321502
Cprot,FD,5.97222617504913,1.19444523500983,5,102.799360288423,0.397852517812789,0.849310680550331
Cprot,loc,385.358128391382,192.679064195691,2,104.395783749993,64.178623325026,6.66879821846718e-19
Cprot,year,42.9952543457043,21.4976271728521,2,92.5839541638574,7.1605502261889,0.00128376846905066
Cprot,FD:loc,29.9981800029405,2.99981800029405,10,102.799360289866,0.999196203739969,0.449275106703555
Cprot,FD:year,26.5663474343073,2.65663474343073,10,102.799360290201,0.884886799832353,0.549891752308253
Cprot,loc:year,167.131611046352,41.782902761588,4,104.103206550516,13.9172835873785,3.96557934110361e-09
Cprot,FD:loc:year,13.7332397621028,0.68666198810514,20,102.799360283843,0.228717226078363,0.999778003796233
DM,FD,0.0886728260092418,0.0177345652018484,5,102.900672409669,0.0314223827045739,0.999491224366401
DM,loc,0.877392801699027,0.438696400849514,2,104.412024697175,0.777289211306735,0.462291548488922
DM,year,3.66109744197916,1.83054872098958,2,94.3912885154757,3.24339513349377,0.0434213195607005
DM,FD:loc,0.648944156712518,0.0648944156712518,10,102.900672397815,0.114980950556332,0.999623819712262
