trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
Mg,FD1:locID:year2018,0.402032055170994,0.0243171240275143,55.8305779458283,16.532878424114,0.353315739860673,0.450748370481315,3.5929210387274e-23
Mg,FD2:locID:year2018,0.396549096080072,0.0243171240275142,55.8305778132827,16.3074011396819,0.347832780767191,0.445265411392953,6.79618464001191e-23
Mg,FD3:locID:year2018,0.419581184716436,0.0189825538756134,27.5455402292242,22.1035160740655,0.380668263443427,0.458494105989445,4.57685633270932e-19
Mg,FD4:locID:year2018,0.358675630170981,0.0243171240275142,55.8305778676962,14.7499198410613,0.309959314859151,0.407391945482811,6.53389189342857e-21
Mg,FD5:locID:year2018,0.357949480170982,0.0243171240275142,55.8305778499227,14.7200581683086,0.309233164858809,0.406665795483156,7.15206887610325e-21
Mg,FD6:locID:year2018,0.393918730170981,0.0243171240275142,55.8305778411102,16.1992318551023,0.345202414858638,0.442635045483325,9.24619863015678e-23
Mg,FD1:locOR:year2018,0.331728131655691,0.0208412344135731,36.9538503552538,15.916913800444,0.289497999378852,0.373958263932531,4.00646974854814e-18
Mg,FD2:locOR:year2018,0.321055637716302,0.0208412344135731,36.953850300184,15.4048283007272,0.278825505437335,0.363285769995268,1.14971064259313e-17
Mg,FD3:locOR:year2018,0.335565895292059,0.0167441613404656,17.7537949879779,20.0407705389876,0.300352716816901,0.370779073767218,1.22676157422671e-13
Mg,FD4:locOR:year2018,0.298208231655692,0.0208412344135732,36.9538503135795,14.3085685683512,0.255978099377243,0.340438363934141,1.20084283013818e-16
Mg,FD5:locOR:year2018,0.317894564989029,0.0208412344135731,36.9538503172147,15.2531543324514,0.27566443271072,0.360124697267338,1.57890546130335e-17
Mg,FD6:locOR:year2018,0.321280398322362,0.0208412344135732,36.9538503013754,15.4156127198072,0.279050266043442,0.363510530601283,1.12416754681629e-17
Mg,FD1:locWA:year2018,0.289778931655693,0.0208412344135731,36.9538502869863,13.9041155579043,0.247548799376217,0.33200906393517,2.94718909690566e-16
Mg,FD2:locWA:year2018,0.320376552867817,0.0208412344135731,36.9538503172897,15.3722445854343,0.278146420589511,0.362606685146123,1.23055278746492e-17
Mg,FD3:locWA:year2018,0.303598654382968,0.0167441613404656,17.7537949826465,18.1316130566218,0.268385475907041,0.338811832858896,6.7060280150714e-13
Mg,FD4:locWA:year2018,0.307920131655694,0.0208412344135731,36.9538503076542,14.7745630390855,0.265689999377016,0.350150263934372,4.3624970184975e-17
Mg,FD5:locWA:year2018,0.338799081655696,0.0208412344135731,36.9538503043014,16.2561907290409,0.296568949376888,0.381029213934503,2.02065610858364e-18
Mg,FD6:locWA:year2018,0.361165181655696,0.0208412344135731,36.953850290495,17.3293565289243,0.318935049376355,0.403395313935036,2.48607390710077e-19
Mg,FD1:locID:year2019,0.404171912934617,0.0187668431357,26.6819320115231,21.5364891160499,0.365644041890189,0.442699783979046,2.1252362112742e-18
Mg,FD2:locID:year2019,0.383071240207347,0.0187668431357,26.6819320012991,20.4121299164394,0.344543369162219,0.421599111252476,8.21117933838596e-18
Mg,FD3:locID:year2019,0.380137261798257,0.0153851167241428,13.0899604863223,24.7081168517711,0.346922942941348,0.413351580655165,2.27508042120328e-12
Mg,FD4:locID:year2019,0.340946300434621,0.0187668431357,26.6819320082148,18.167482829653,0.302418429389966,0.379474171479276,1.50215768869067e-16
Mg,FD5:locID:year2019,0.35108045043462,0.0187668431357,26.6819319921646,18.7074857447262,0.312552579388867,0.389608321480373,7.2636622347327e-17
Mg,FD6:locID:year2019,0.38984516293462,0.0187668431357,26.6819320004089,20.773081552167,0.351317291889432,0.428373033979809,5.28316567987215e-18
Mg,FD1:locOR:year2019,0.300914106116438,0.0187668431357,26.6819320031041,16.034348661657,0.262386235071434,0.339441977161443,3.21047452510515e-15
Mg,FD2:locOR:year2019,0.293863417480075,0.0187668431356999,26.6819319645664,15.6586494252228,0.255335546432434,0.332391288527715,5.6994589160131e-15
Mg,FD3:locOR:year2019,0.30400740668462,0.0153851167241428,13.0899604717436,19.7598375193061,0.27079308782398,0.337221725545261,3.94675168401372e-11
Mg,FD4:locOR:year2019,0.264075181116438,0.0187668431357,26.6819319825092,14.0713693404348,0.225547310070024,0.302603052162851,7.3287904393902e-14
Mg,FD5:locOR:year2019,0.305517868616438,0.0187668431357,26.6819319981405,16.2796622962791,0.266989997571094,0.344045739661782,2.22012954944209e-15
Mg,FD6:locOR:year2019,0.337910456116438,0.0187668431357,26.6819319853533,18.0057164475166,0.299382585070219,0.376438327162657,1.87418480567779e-16
Mg,FD1:locWA:year2019,0.354846719127195,0.018784810559134,26.7222265697764,18.8900877126308,0.316284716027463,0.393408722226928,5.50491398587946e-17
Mg,FD2:locWA:year2019,0.343813022536287,0.0187848105591341,26.7222265763395,18.3027143901171,0.305251019437002,0.382375025635572,1.20766307598279e-16
Mg,FD3:locWA:year2019,0.319673923672651,0.0154070283662386,13.1353112175913,20.7485776019697,0.286423883565683,0.352923963779618,1.99926186606511e-11
Mg,FD4:locWA:year2019,0.322083769127193,0.018784810559134,26.7222265659546,17.145968446862,0.283521766027199,0.360645772227186,6.05601545040136e-16
Mg,FD5:locWA:year2019,0.353621256627196,0.018784810559134,26.722226548659,18.8248508290252,0.315059253526022,0.39218325972837,6.00053485028967e-17
Mg,FD6:locWA:year2019,0.356950119127196,0.018784810559134,26.7222265609899,19.0020611601872,0.318388116026863,0.395512122227529,4.75060892701188e-17
Mg,FD1:locID:year2020,0.413131522450788,0.0328334164777737,89.2426056286585,12.582654099687,0.347894666913405,0.478368377988171,1.7674489300719e-21
Mg,FD2:locID:year2020,0.384495158814425,0.0328334164777737,89.2426056393626,11.7104827965346,0.319258303277149,0.4497320143517,9.82962801574896e-20
Mg,FD3:locID:year2020,0.39994970426897,0.0248206143949955,57.402232119679,16.1136101590463,0.350254828170737,0.449644580367204,5.75955053295269e-23
Mg,FD4:locID:year2020,0.428131522450787,0.0328334164777737,89.2426056489255,13.0395057346715,0.362894666913607,0.493368377987967,2.22225958773713e-22
Mg,FD5:locID:year2020,0.368131522450788,0.0328334164777737,89.2426056423256,11.2120991947333,0.302894666913542,0.433368377988034,1.00787023447276e-18
Mg,FD6:locID:year2020,0.408131522450788,0.0328334164777737,89.2426056248871,12.4303702213588,0.342894666913367,0.47336837798821,3.54556966321928e-21
Mg,FD1:locOR:year2020,0.329949704268969,0.0328334164777737,89.2426056511937,10.0492041238634,0.264712848731812,0.395186559806126,2.46376625605191e-16
Mg,FD2:locOR:year2020,0.337222431541697,0.0328334164777737,89.2426056282323,10.2707079468863,0.27198557600431,0.402459287079085,8.59422544452621e-17
Mg,FD3:locOR:year2020,0.366313340632607,0.0248206143949955,57.4022321383075,14.758431632799,0.31661846453472,0.416008216730493,3.39973927424078e-21
Mg,FD4:locOR:year2020,0.329949704268967,0.0328334164777737,89.2426056709104,10.0492041238634,0.264712848732008,0.395186559805926,2.46376625042041e-16
Mg,FD5:locOR:year2020,0.36994970426897,0.0328334164777738,89.2426056432715,11.2674751504889,0.304712848731734,0.435186559806207,7.77408332491629e-19
Mg,FD6:locOR:year2020,0.38994970426897,0.0328334164777737,89.2426056186373,11.8766106638017,0.324712848731486,0.455186559806454,4.54635667233577e-20
Mg,FD1:locWA:year2020,0.358586067905335,0.0328334164777737,89.2426056285361,10.9213754270159,0.293349212367951,0.423822923442719,3.95376521361087e-18
Mg,FD2:locWA:year2020,0.329040613359879,0.0328334164777737,89.2426056340379,10.0215161459856,0.26380375782255,0.394277468897208,2.81082917053331e-16
Mg,FD3:locWA:year2020,0.335858795178061,0.0248206143949955,57.4022321181105,13.5314456698453,0.286163919079798,0.385553671276324,1.65950282530389e-19
Mg,FD4:locWA:year2020,0.328586067905337,0.0328334164777737,89.2426056289815,10.0076721570468,0.263349212367957,0.393822923442717,3.00231704788856e-16
Mg,FD5:locWA:year2020,0.383586067905334,0.0328334164777737,89.2426056053548,11.6827948186567,0.318349212367717,0.448822923442951,1.11803337720869e-19
Mg,FD6:locWA:year2020,0.378586067905334,0.0328334164777737,89.2426056088145,11.5305109403286,0.313349212367751,0.443822923442916,2.27261134062439e-19
P,FD1,0.331537241609232,0.00841384990679982,7.97936103910147,39.40375039746,0.312126130073776,0.350948353144688,1.97964088639281e-10
P,FD2,0.328801757686672,0.00841384990679984,7.97936103122362,39.0786336015982,0.309390646147871,0.348212869225474,2.11428963319284e-10
P,FD3,0.328330062968659,0.00762161624987283,5.39909747040974,43.0787974891989,0.309165757646516,0.347494368290802,4.63685124118901e-08
P,FD4,0.33680766660923,0.00841384990679984,7.97936103576231,40.0301491398167,0.317396555072356,0.356218778146104,1.74653848735792e-10
P,FD5,0.334486000405528,0.00841384990679983,7.97936103293713,39.7542152653811,0.315074888867454,0.353897111943601,1.845188466267e-10
P,FD6,0.324798855035157,0.00841384990679982,7.979361038517,38.6028819901653,0.305387743499453,0.344209966570861,2.33029458097783e-10
P,locID,0.362310939083924,0.00763738255649548,5.4332387780287,47.4391503114877,0.34314006504714,0.381481813120707,2.52404291358526e-08
P,locOR,0.328944139475825,0.00751137724752095,5.10023078870521,43.7927864140214,0.309749105251035,0.348139173700615,9.06492893237032e-08
P,locWA,0.301125713597491,0.00754905586331301,5.18378841378441,39.8891886680697,0.281925370937564,0.320326056257418,1.18697051258543e-07
P,year2018,0.323505552762504,0.00743375249471795,4.84485035343502,43.5184723990166,0.304210950373304,0.342800155151704,1.80159909393604e-07
P,year2019,0.335958963283406,0.00703429539333755,3.94174468475925,47.7601443353666,0.316314265968882,0.355603660597929,1.3526208314349e-06
P,year2020,0.33291627611133,0.00899187217684973,9.76991248866197,37.0241335245454,0.312816994608929,0.35301555761373,7.82935281734052e-12
P,FD1:locID,0.363269997480392,0.0112820921574973,23.7899322422121,32.1988149369077,0.339974018220911,0.386565976739873,3.95607191128189e-21
P,FD2:locID,0.359590888389479,0.0112820921574973,23.7899321949635,31.8727132671505,0.336294909127526,0.382886867651431,5.01355085028352e-21
P,FD3:locID,0.356863968692509,0.00930538899881029,11.7618211118934,38.3502472318067,0.336543638428485,0.377184298956533,1.01387334418492e-13
P,FD4:locID,0.373641780813719,0.0112820921574973,23.789932196253,33.1181287652772,0.350345801551835,0.396937760075604,2.05358648421284e-21
P,FD5:locID,0.358356055813721,0.0112820921574973,23.7899321974846,31.763262594481,0.335060076551901,0.381652035075542,5.43127171027878e-21
P,FD6:locID,0.362142943313721,0.0112820921574973,23.7899322037963,32.0989173158869,0.338846964052231,0.385438922575212,4.25279474001832e-21
P,FD1:locOR,0.33755216383399,0.0108999789926187,21.1461038701929,30.9681481095125,0.314893949226504,0.360210378441476,4.19806365717005e-19
P,FD2:locOR,0.326764160424899,0.0108999789926187,21.146103844569,29.978421118626,0.304105945815753,0.349422375034044,8.22220747042431e-19
P,FD3:locOR,0.33395460998298,0.0090548301796795,10.6238486174741,36.8813774920294,0.313938632567165,0.353970587398794,1.47257443097384e-12
P,FD4:locOR,0.3310799249451,0.0108999789926187,21.1461038627453,30.37436358082,0.308421710337132,0.353738139553068,6.26766467848716e-19
P,FD5:locOR,0.336355227722879,0.0108999789926187,21.1461038568221,30.8583372454804,0.313697013114527,0.359013442331231,4.51851412214179e-19
