trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
aNDF,FD5:locWA,35.6296035065365,2.32646195622664,8.46464385374421,15.3149306444389,30.3156025379979,40.9436044750752,1.82282732990398e-07
aNDF,FD6:locWA,36.0751149145574,2.32646195622664,8.46464390191727,15.5064280410881,30.7611139509575,41.3891158781572,1.64621611806373e-07
Ash,FD1,9.51774654307427,0.241162883357581,13.7698618394379,39.4660505404638,8.99969140278176,10.0358016833668,1.45083988321771e-15
Ash,FD2,9.51361815225179,0.241162883357587,13.7698613934886,39.4489318579981,8.99556301035682,10.0316732941468,1.45946289087472e-15
Ash,FD3,9.46851848403435,0.236560388840682,12.9594123266371,40.0257986150471,8.95729808261555,9.97973888545315,5.75388822004961e-15
Ash,FD4,9.43854257970099,0.241162883357587,13.7698615086876,39.1376253604743,8.92048743821997,9.95659772118202,1.62622146290822e-15
Ash,FD5,9.58966899664877,0.241162883357587,13.7698614341264,39.7642823934461,9.07161385489982,10.1077241383977,1.30908031799424e-15
Ash,FD6,9.64240742862233,0.241162883357587,13.7698615826677,39.9829662607116,9.12435228740714,10.1604625698375,1.21459657104269e-15
Ash,locID,10.9226098202132,0.287862064100276,23.2846676338986,37.9439015500436,10.3275243519957,11.5176952884307,1.91390615507778e-22
Ash,locOR,9.08398215342456,0.254298777316322,23.3833539258796,35.7216902467644,8.55840186066065,9.60956244618846,6.55130074176787e-22
Ash,locWA,8.57865911852846,0.254498797812899,23.4830587815194,33.7080536028122,8.05278685141602,9.1045313856409,2.14098052189476e-21
Ash,FD1:locID,10.9737813176112,0.378499581902663,35.0449286446616,28.9928492455595,10.205421528667,11.7421411065555,4.40393613427048e-26
Ash,FD2:locID,11.0364788314787,0.378499581902687,35.0449074492529,29.1584967571147,10.2681190259444,11.804838637013,3.63496881441962e-26
Ash,FD3:locID,10.9972226235996,0.368494662658642,31.7422821065257,29.843641544917,10.2463844787201,11.7480607684791,8.53133074753058e-25
Ash,FD4:locID,10.7310126549628,0.378499581902686,35.044910592001,28.3514518061523,9.96265285188837,11.4993724580372,9.34939536895895e-26
Ash,FD5:locID,10.9624883032375,0.378499581902687,35.0449100750155,28.9630129791161,10.1941284997584,11.7308481067166,4.55942387764248e-26
Ash,FD6:locID,10.8346751903895,0.378499581902687,35.044910056836,28.6253293489109,10.0663153868962,11.6030349938828,6.76641058227395e-26
Ash,FD1:locOR,9.20026084765592,0.337353244851434,33.5661325612129,27.2718907793746,8.51435000694243,9.88617168836941,1.74158568607009e-24
Ash,FD2:locOR,9.03204076017307,0.337353244851431,33.5661278376382,26.7732440639507,8.34612991585667,9.71795160448947,3.15110256964021e-24
Ash,FD3:locOR,8.95777558143313,0.328786878099557,30.4726089349376,27.2449303123366,8.28673962479016,9.62881153807611,5.89920378263595e-23
Ash,FD4:locOR,9.28831992739455,0.33735324485143,33.5661269974023,27.5329200745797,8.60240908243726,9.97423077235184,1.28191424004601e-24
Ash,FD5:locOR,8.95520696382354,0.33735324485143,33.5661274471245,26.5454893364592,8.26929611920928,9.64111780843781,4.14517350880192e-24
Ash,FD6:locOR,9.07028884006714,0.337353244851431,33.5661271415648,26.8866210077857,8.38437799521981,9.75619968491446,2.75124254762615e-24
Ash,FD1:locWA,8.37919746395565,0.338202407344127,34.2656175559069,24.7756884102533,7.69208367072845,9.06631125718285,1.85174441189709e-23
Ash,FD2:locWA,8.47233486510358,0.338202407344121,34.2656159950432,25.0510779377244,7.78522107073274,9.15944865947441,1.2925675967894e-23
Ash,FD3:locWA,8.45055724707031,0.329640788896747,31.1216946034546,25.6356541171768,7.77835696159901,9.12275753254161,1.72332858661246e-22
Ash,FD4:locWA,8.29629515674564,0.338202407344121,34.265615861499,24.5305621030194,7.60918136227696,8.98340895121432,2.55781137333825e-23
Ash,FD5:locWA,8.85131172288525,0.338202407344121,34.2656161358379,26.1716402091693,8.16419792861758,9.53842551715293,3.10251915741347e-24
Ash,FD6:locWA,9.02225825541035,0.338202407344121,34.2656153460744,26.6770964945563,8.33514446056402,9.70937205025668,1.65959018190238e-24
Ca,FD1,1.38629351280927,0.0581399867733276,19.7692445594657,23.8440630923096,1.26492481068421,1.50766221493433,4.88717197556296e-16
Ca,FD2,1.33415766826905,0.0581399867733289,19.7692459542344,22.947333536049,1.21278896669971,1.4555263698384,1.01676959088058e-15
