trait,variable,cv,max,mean,median,min,sd.amo,se,ci
IVTDMD30,WA_2018_2,0.3554,74.1934,73.8796,73.8799,73.5043,0.2626,0.0992,0.2428
IVTDMD30,WA_2018_3,1.4652,79.6236,78.554,78.8002,76.0674,1.151,0.435,1.0645
IVTDMD30,WA_2019_2,0.1581,78.859,78.6664,78.6489,78.5457,0.1243,0.047,0.115
IVTDMD30,WA_2019_3,0.1277,80.0784,79.9176,79.8634,79.8208,0.102,0.0386,0.0944
IVTDMD30,WA_2019_4,0.7057,80.9631,80.22,80.2264,79.4686,0.5661,0.214,0.5235
IVTDMD30,WA_2019_5,0.124,80.3038,80.1488,80.1069,80.0483,0.0994,0.0376,0.0919
IVTDMD48,ID_2018_2,1.243,84.1837,82.8401,83.172,81.3084,1.0297,0.3892,0.9523
IVTDMD48,ID_2018_3,1.9671,90.214,86.7673,86.6835,84.6103,1.7068,0.6451,1.5785
IVTDMD48,ID_2019_2,0.7764,82.7214,81.516,81.2568,80.9184,0.6329,0.2392,0.5853
IVTDMD48,ID_2019_3,0.1763,82.1156,81.8505,81.7986,81.6811,0.1443,0.0545,0.1335
IVTDMD48,ID_2019_4,0.0614,85.268,85.1922,85.1797,85.1233,0.0523,0.0198,0.0484
IVTDMD48,OR_2018_2,0.4284,81.91,81.252,81.1253,80.8714,0.3481,0.1316,0.322
IVTDMD48,OR_2018_3,0.2802,86.7658,86.3072,86.2796,86.0479,0.2418,0.0914,0.2236
IVTDMD48,OR_2019_2,0.1112,83.2513,83.1014,83.065,82.9849,0.0924,0.0349,0.0855
IVTDMD48,OR_2019_3,0.1313,82.884,82.6968,82.6625,82.5632,0.1086,0.041,0.1004
IVTDMD48,OR_2019_4,1.233,84.1712,82.2076,82.2235,81.2867,1.0136,0.3831,0.9375
IVTDMD48,WA_2018_2,0.4586,77.8703,77.1744,77.0404,76.807,0.3539,0.1338,0.3273
IVTDMD48,WA_2018_3,0.7434,81.4891,80.7454,80.8528,79.5072,0.6003,0.2269,0.5552
IVTDMD48,WA_2019_2,0.0582,84.9882,84.909,84.8924,84.8441,0.0494,0.0187,0.0457
IVTDMD48,WA_2019_3,0.0633,85.3615,85.2868,85.2758,85.2167,0.054,0.0204,0.0499
IVTDMD48,WA_2019_4,0.9627,84.7635,83.6757,83.8769,82.2802,0.8056,0.3045,0.745
IVTDMD48,WA_2019_5,0.1205,83.078,82.9106,82.8733,82.786,0.0999,0.0378,0.0924
K,ID_2018_1,1.2096,2.1672,2.135,2.1479,2.0979,0.0258,0.0098,0.0239
K,ID_2018_2,3.7809,2.7722,2.6787,2.7083,2.5404,0.1013,0.0383,0.0937
K,ID_2018_3,6.4666,2.2463,1.9799,1.9577,1.8587,0.128,0.0484,0.1184
K,ID_2019_1,8.4287,2.6187,2.3436,2.3587,1.9639,0.1975,0.0747,0.1827
K,ID_2019_2,2.1056,2.5614,2.4554,2.4358,2.404,0.0517,0.0195,0.0478
K,ID_2019_3,0.4008,2.6266,2.6114,2.6115,2.5965,0.0105,0.004,0.0097
K,ID_2019_4,0.4644,2.7566,2.7414,2.7462,2.7199,0.0127,0.0048,0.0118
K,OR_2018_1,0.5296,2.4631,2.4479,2.4524,2.4298,0.013,0.0049,0.012
K,OR_2018_2,1.1497,2.641,2.6057,2.6093,2.5521,0.03,0.0113,0.0277
K,OR_2018_3,0.4086,2.6718,2.6566,2.6579,2.6426,0.0109,0.0041,0.01
K,OR_2019_1,1.5376,2.4687,2.4175,2.4083,2.3729,0.0372,0.014,0.0344
K,OR_2019_2,2.8648,3.0062,2.8994,2.9015,2.7941,0.0831,0.0314,0.0768
K,OR_2019_3,0.8584,3.1055,3.0743,3.076,3.0233,0.0264,0.01,0.0244
K,OR_2019_4,0.443,2.5362,2.5211,2.519,2.5044,0.0112,0.0042,0.0103
K,WA_2018_1,0.4008,2.632,2.6168,2.6172,2.6021,0.0105,0.004,0.0097
K,WA_2018_2,0.4115,2.5828,2.5676,2.5662,2.5519,0.0106,0.004,0.0098
K,WA_2018_3,1.0244,2.2313,2.2054,2.2168,2.1734,0.0226,0.0085,0.0209
K,WA_2019_1,5.4957,2.7157,2.5021,2.4594,2.3766,0.1375,0.052,0.1272
K,WA_2019_2,0.5838,2.8685,2.8533,2.8588,2.8218,0.0167,0.0063,0.0154
K,WA_2019_3,0.7252,2.9914,2.9679,2.9715,2.9264,0.0215,0.0081,0.0199
K,WA_2019_4,4.7771,3.0135,2.8317,2.8473,2.5712,0.1353,0.0511,0.1251
K,WA_2019_5,0.4095,2.6741,2.6589,2.6602,2.6447,0.0109,0.0041,0.0101
Lignin,ID_2018_1,1.003,5.3522,5.291,5.2968,5.1961,0.0531,0.0201,0.0491
Lignin,ID_2018_2,5.1962,5.8461,5.4355,5.3964,4.9933,0.2824,0.1068,0.2612
Lignin,ID_2018_3,8.9684,4.288,3.9567,3.9622,3.2218,0.3549,0.1341,0.3282
Lignin,ID_2019_1,2.885,5.5028,5.2313,5.2197,5.0097,0.1509,0.057,0.1396
Lignin,ID_2019_2,3.4677,6.2966,6.0683,6.0974,5.7149,0.2104,0.0795,0.1946
Lignin,ID_2019_3,1.5657,5.8849,5.7855,5.7979,5.6169,0.0906,0.0342,0.0838
Lignin,ID_2019_4,0.2911,4.7657,4.7465,4.7515,4.7246,0.0138,0.0052,0.0128
Lignin,OR_2018_1,1.858,5.8649,5.7383,5.748,5.5298,0.1066,0.0403,0.0986
Lignin,OR_2018_2,1.5158,5.8339,5.7381,5.7499,5.5766,0.087,0.0329,0.0804
Lignin,OR_2018_3,2.416,4.2397,4.1592,4.1866,3.9435,0.1005,0.038,0.0929
Lignin,OR_2019_1,1.4014,5.7199,5.6323,5.6426,5.4865,0.0789,0.0298,0.073
Lignin,OR_2019_2,1.0222,5.369,5.3065,5.3125,5.2093,0.0542,0.0205,0.0502
Lignin,OR_2019_3,0.7489,5.1377,5.0918,5.0965,5.0267,0.0381,0.0144,0.0353
Lignin,OR_2019_4,3.8354,5.5809,5.2677,5.2786,4.8948,0.202,0.0764,0.1869
Lignin,WA_2018_1,2.0797,6.4003,6.2522,6.2686,6.0071,0.13,0.0491,0.1203
Lignin,WA_2018_2,2.2854,6.7248,6.5653,6.588,6.2804,0.15,0.0567,0.1388
Lignin,WA_2018_3,0.9305,5.2896,5.2328,5.2379,5.1466,0.0487,0.0184,0.045
Lignin,WA_2019_1,4.6549,6.0476,5.6765,5.6368,5.2718,0.2642,0.0999,0.2444
Lignin,WA_2019_2,0.4083,4.8645,4.8381,4.8437,4.8108,0.0198,0.0075,0.0183
Lignin,WA_2019_3,0.4246,4.8776,4.8504,4.8559,4.8212,0.0206,0.0078,0.019
Lignin,WA_2019_4,1.9152,5.611,5.4454,5.4728,5.318,0.1043,0.0394,0.0965
Lignin,WA_2019_5,0.7961,5.1766,5.1279,5.1325,5.0573,0.0408,0.0154,0.0378
Mg,ID_2018_1,0.169,0.3723,0.3711,0.3708,0.3704,6e-04,2e-04,6e-04
Mg,ID_2018_2,0.8921,0.4005,0.3959,0.3966,0.391,0.0035,0.0013,0.0033
Mg,ID_2018_3,3.708,0.4659,0.4367,0.4283,0.4221,0.0162,0.0061,0.015
Mg,ID_2019_1,3.7227,0.3216,0.2993,0.2966,0.287,0.0111,0.0042,0.0103
Mg,ID_2019_2,8.64,0.3956,0.3647,0.3758,0.3184,0.0315,0.0119,0.0291
Mg,ID_2019_3,0.3595,0.382,0.3803,0.3804,0.3783,0.0014,5e-04,0.0013
