year,ID,cut,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg
2018,10205,3,93.2289505,18.5704441,27.2293472,32.3961182,7.6751204,2.1371531,5.2556825,12.5334015,78.0833282,13.4888897,81.4790649,1.5465395,0.2490813,1.470451,0.3976376
2018,10206,3,93.3100052,20.8136406,29.1311455,33.5837212,8.121582,2.1440983,5.474071,13.0633984,78.1422958,14.8278723,81.9058228,1.5114038,0.2892545,2.0269263,0.3684979
2018,10214,3,93.1636887,21.1029587,29.6745472,34.1362343,8.2714443,2.017349,5.5187945,13.5681391,78.6087036,15.1814623,82.1989975,1.3994056,0.2992574,2.2838302,0.3457544
2018,10302,3,93.3248138,20.6461582,28.2618122,32.6803207,8.9351845,2.0942624,5.4898434,12.3570595,78.6969452,14.3172827,82.3940201,1.6827447,0.2776293,2.0364745,0.3859949
2018,10312,3,92.924881,22.2676983,27.6560535,31.6347408,8.4108057,2.1906126,5.2526612,12.4464064,80.7636337,14.4158325,83.9645538,1.569667,0.2998989,2.1583521,0.3838711
2018,10407,3,93.3320236,20.9992104,27.8824081,31.8767433,8.5255184,2.2104537,5.322567,12.2729502,80.1441727,14.1067324,83.1498108,1.6164514,0.288514,2.2751057,0.3650312
2018,10413,3,93.203804,14.7721252,27.1813869,33.788311,5.9251442,2.1951108,4.9358153,13.5791655,77.6003647,14.1903362,80.2490845,1.2680541,0.2279429,1.339666,0.3264965
2018,10419,3,93.2290115,16.3025665,33.8194733,40.0217476,7.6704631,1.9704388,6.6536264,13.8715591,72.3625336,15.5383997,76.4549789,1.4763881,0.2440087,1.7330666,0.339388
2018,10508,3,93.2021637,17.8143806,28.7075768,34.7181358,7.8601456,2.2862437,5.6631212,12.8145714,77.7061005,14.661025,81.0908661,1.5428139,0.2497834,1.8311151,0.3555406
2018,10514,3,93.0495529,15.8941641,23.2517986,29.2026806,6.3900681,2.5498536,4.3369269,12.0175076,81.0356979,12.6980648,83.1885529,1.5847878,0.2290873,1.3621484,0.3995703
2018,10604,3,92.9286728,15.3681564,30.6566963,37.1254158,5.5095835,2.0619395,6.021287,13.3811207,74.1273651,13.6773834,77.7907257,1.3850288,0.2193947,1.2949924,0.3568202
2018,10613,3,93.1572952,16.5140915,29.4088573,35.407814,6.719173,2.1128125,5.6498137,13.6066694,76.2753296,14.6401653,79.9094086,1.4225785,0.2458669,1.6095978,0.3538262
2018,10702,3,93.0932465,15.376215,26.0803204,31.8257027,6.4398317,2.3190436,4.9726591,12.2474842,77.9967194,12.895586,80.895546,1.5522147,0.2177174,1.2228835,0.3914155
2018,10715,3,93.3108215,14.5638847,27.5280495,34.5414963,6.7394404,2.2945461,5.3023105,13.0710125,76.781662,14.4420614,79.9016571,1.4300061,0.2213549,1.3262346,0.3491945
2018,10802,3,92.9456787,15.2663746,27.1647224,33.558712,6.8840976,2.2818778,5.3154001,12.9956284,77.0785675,14.0363932,80.2256927,1.4669564,0.2191692,1.3003681,0.3708901
2018,10805,3,93.236084,17.8516655,27.1531086,32.5352173,7.7988868,2.1066105,5.2835617,12.7901154,78.0628204,13.7460155,80.9670105,1.4726104,0.2456765,1.4549074,0.3832376
