cut,year,ID,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
3,2020,20615,94.4072342,25.801199,27.8662052,31.3021584,10.9409733,1.8394853,4.9808359,16.6288242,81.9683304,17.3551521,84.3205566,1.3543954,0.3887164,3.0126724,0.3910882,5.5858989,8.1007442,1.8694618
3,2020,20616,94.2489777,26.0273094,29.209425,32.6793709,10.9856119,1.8098756,5.3632746,16.0972385,80.6254883,17.0493546,83.9210968,1.3318273,0.3772245,3.0107551,0.3977965,5.6624699,7.8354049,1.4541559
3,2020,20618,94.3329315,27.2018795,26.6189537,29.3561897,10.5885839,1.8662972,4.8872786,16.4249725,83.1062088,16.5741692,85.4178391,1.4745793,0.3851244,2.8874137,0.4526469,6.1297359,8.5700483,1.2654382
3,2020,21004,94.3147049,25.9524097,27.32621,31.494236,11.2314386,1.8775164,5.0590672,16.2819977,80.8945847,17.8123245,84.4965897,1.5116501,0.3695383,2.9671674,0.4450426,5.4544683,8.0885696,1.3826613
3,2020,21109,94.4694824,26.5245724,28.4237232,31.2976379,10.484046,1.8519877,5.2768245,16.0906296,81.6850204,16.5548611,83.7821426,1.3100934,0.3957742,3.0543609,0.3940569,5.806673,8.0857477,1.4256229
3,2020,21013,94.4206467,24.8106117,30.0180836,33.5436096,10.9170237,1.7591784,5.5924215,16.3491249,80.0447998,17.6880398,83.2234192,1.3531933,0.3813978,2.9696827,0.3817269,5.5455666,8.0586176,1.6285487
3,2020,21104,94.3244476,26.8032894,28.2177067,31.4621334,10.1284513,1.7690766,5.1894145,16.8201942,81.8150864,17.5134258,84.3512115,1.3523052,0.3878156,2.9297001,0.4087504,5.5946488,7.9618559,1.419714
3,2020,20720,94.377121,24.4384117,30.2620201,34.0447693,10.0908813,1.7352122,5.7907357,15.692524,79.1649017,16.897974,82.3274612,1.3936639,0.3560974,2.7235174,0.3890484,5.6615782,7.9767189,2.0185871
3,2020,20714,94.4666519,24.0117207,31.8534279,35.4576035,10.4701605,1.7236656,5.7545958,16.974926,79.1548767,17.7843266,81.721611,1.2377188,0.380038,3.0594847,0.3864097,5.7501545,7.9724565,1.3238615
3,2020,20811,94.2892227,26.3246689,27.0098553,31.0348339,11.6014471,1.9450704,4.8671308,16.0630512,81.6491928,17.0202179,85.2447205,1.421315,0.3806508,2.998723,0.448589,5.9193077,8.3336458,1.1727589
3,2020,20816,94.4888458,24.8287163,31.0444698,34.8519058,10.5967884,1.8064593,5.8691769,15.9639139,77.893959,17.3365726,81.2806549,1.3346529,0.3739653,2.8682041,0.3893282,5.3234005,7.5763965,1.2610065
3,2020,20913,94.3805466,25.2072697,29.8881073,33.3008423,10.9434414,1.7259222,5.3662939,16.6526127,80.5353012,17.729208,83.5470123,1.2889082,0.377771,3.1427116,0.3870485,5.3209925,7.666111,1.3899933
