cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,4,4,49,OR,2021,94.09,21.19,31.59,36.31,9.23,2.14,6.96,17,81.4,46.83,18.37,80.9,50.59,1.2,0.34,2.85,0.28,5.28,7.91,1.84
1,5,10,50,OR,2021,94.1,19.96,30.51,35.35,8.59,2.05,6.78,14.79,80.42,41.84,16.6,81.24,46.95,1.33,0.29,2.15,0.31,6.96,9.28,2.74
1,2,20,51,OR,2021,94.52,18.04,34.61,40.17,8.57,1.7,7.43,15.01,76.78,37.37,17.69,77.52,44.04,1.25,0.29,2.28,0.27,7.08,9.58,2.2
1,9,19,52,OR,2021,93.13,20.34,32.06,37.38,7.68,1.93,7.16,14.78,78.57,39.55,16.61,79.45,44.45,1.27,0.31,2.03,0.32,7.02,9.26,2.11
1,11,9,53,OR,2021,93.64,22.78,28.3,32.11,9.06,2.1,6.35,15.23,83.54,47.43,15.6,83.05,48.57,1.62,0.34,2.38,0.37,7.16,9.95,1.37
1,3,15,54,OR,2021,93.89,16.37,34.06,39.55,9.02,1.79,7.42,13.63,75.3,34.47,15.66,76.83,39.59,1.54,0.26,2,0.28,7.85,10.09,2.62
1,1,4,55,OR,2021,94.34,17.59,35.8,41.76,8.77,1.54,7.94,14.27,74.1,34.18,16.78,75.72,40.17,1.18,0.3,2.6,0.24,6.73,9,1.38
1,8,17,56,OR,2021,93.83,18.44,34.63,39.88,7.36,1.72,7.32,14.63,77.07,36.68,16.5,77.48,41.37,1.23,0.3,1.82,0.28,7.72,9.83,2.45
1,8,15,57,OR,2021,93.66,22.27,31.55,35.98,8.37,1.9,6.87,16.94,81.39,47.09,18.56,81.13,51.6,1.42,0.35,2.37,0.35,5.58,8.44,1.14
1,8,1,58,OR,2021,93.37,19.43,30.16,35.27,7.97,2.06,6.72,13.06,79.76,37.03,15.46,80.35,43.84,1.39,0.3,1.95,0.33,8.02,10.23,3.24
1,2,13,59,OR,2021,94.05,17.85,35.37,40.76,8.11,1.7,7.61,15.31,75.63,37.56,17.46,76.78,42.83,1.39,0.29,2.14,0.3,6.66,8.74,1.81
1,6,3,60,OR,2021,93.63,20.35,30.3,34.68,8.39,2.11,6.45,15.42,81.77,44.47,16.24,81.72,46.83,1.42,0.31,2.17,0.33,7.9,10.12,2.24
1,8,19,61,OR,2021,93.15,21.09,30.45,34.85,7.67,2.02,6.55,15.73,81.33,45.15,16.26,81.3,46.65,1.71,0.31,1.94,0.39,7.86,10.23,1.05
1,5,12,62,OR,2021,94.23,20.42,31.8,36.25,9.63,1.78,7.17,15.49,79.32,42.74,17.6,79.48,48.56,1.42,0.34,2.62,0.29,6.23,9.29,2.21
1,4,8,63,OR,2021,94.35,18.58,33.24,38.76,7.81,1.86,7.1,13.85,77.81,35.74,16.53,78.14,42.64,1.25,0.3,1.94,0.29,7.84,9.85,3.32
1,9,3,64,OR,2021,93.76,19.8,30.45,35.11,8.58,1.97,6.84,12.71,79.11,36.2,14.66,80.22,41.76,1.44,0.29,1.89,0.32,8,10.06,2.66
1,2,4,65,OR,2021,94.49,16.5,34.51,40.55,7.32,1.54,7.72,12.82,74.58,31.61,16.37,75.52,40.37,1.23,0.28,1.88,0.25,7.96,10.18,3.67
1,8,2,66,OR,2021,92.95,19.15,29.74,35.11,7.9,2.01,6.28,13.13,80.1,37.4,15.59,80.86,44.39,1.3,0.3,2.02,0.34,8.95,10.97,4.34
1,4,18,67,OR,2021,94.42,20.73,28.76,33.95,8.49,1.95,6.58,13.03,79.51,38.38,15.65,80.78,46.1,1.41,0.29,2.09,0.34,7.45,9.77,2.73
1,9,6,68,OR,2021,93,22.52,28.06,31.93,8.58,2,6.28,14.53,83.22,45.51,15.66,83.31,49.05,1.54,0.33,2.45,0.35,7.42,10.05,1.56
1,6,20,69,OR,2021,94.65,18.49,33.77,38.93,8.5,1.69,7.12,16.04,77.74,41.21,18.28,78.73,46.96,1.28,0.3,2.26,0.27,6.98,9.71,2.05
1,7,7,70,OR,2021,93.63,19.16,33.9,39.38,7.78,1.8,7.43,15.07,76.93,38.27,16.63,77.7,42.24,1.36,0.31,1.97,0.31,7.12,9.52,1.82
1,5,16,71,OR,2021,94.18,18.02,35.71,40.8,7.08,1.61,7.61,15.39,76.72,37.72,17.71,76.57,43.42,1.18,0.32,2.09,0.26,7.53,9.88,2.03
1,8,10,72,OR,2021,93.23,19.23,35.33,39.53,7.88,1.73,7.44,16.56,78.08,41.88,17.95,77.85,45.41,1.35,0.32,2.59,0.27,6.3,8.97,1.51
1,9,20,73,OR,2021,93.45,18.94,32.43,37.59,8.15,1.83,7.03,14.34,78.11,38.15,16.29,79.23,43.32,1.3,0.3,2.19,0.29,7.45,9.73,2.83
1,1,9,74,OR,2021,94.15,19.41,32.99,36.92,7.85,1.83,7.16,16.1,79.99,43.61,17.63,79.95,47.74,1.24,0.32,2.62,0.29,6.85,9.29,1.76
1,5,1,75,OR,2021,93.68,21.54,31.96,36.56,7.96,1.97,7.06,16.05,80.3,43.91,17.05,79.56,46.63,1.35,0.34,2.22,0.33,6.05,8.6,1.78
1,6,7,76,OR,2021,93.38,20.87,29.87,34.14,8.05,2.2,6.53,14.45,81.93,42.33,16.71,81.73,48.95,1.31,0.32,2.3,0.31,6.94,9.45,2.89
1,3,14,77,OR,2021,93.92,18.74,32.02,37.14,8.99,1.97,7.22,14.7,78.46,39.58,16.5,79.2,44.42,1.42,0.29,2.24,0.32,7.12,9.61,2
1,2,9,78,OR,2021,93.83,21.79,30.05,34.71,8.17,1.92,6.59,16.85,82.21,48.53,17.95,81.87,51.69,1.5,0.33,2.2,0.38,6.62,9.36,1.32
1,3,12,79,OR,2021,94.53,19.2,34.09,38.87,8.21,1.72,7.34,16.66,78.52,42.85,18.53,78.55,47.67,1.27,0.32,2.48,0.28,6.42,9.03,1.3
1,10,3,80,OR,2021,93.16,20.94,32.14,36.81,9.2,2.03,6.81,16.17,80.55,43.92,17.01,80.53,46.21,1.43,0.33,2.38,0.34,6.21,8.76,2.12
1,1,14,81,OR,2021,94.09,18.58,33.8,38.24,9.02,1.9,7.31,15.58,78.87,40.75,17.72,78.5,46.34,1.3,0.32,2.55,0.28,6.21,8.99,2.95
1,5,9,82,OR,2021,93.73,19.8,34.83,39.83,7.56,1.68,7.68,15.76,77.03,39.58,17.01,77.01,42.7,1.39,0.32,2.12,0.3,6.42,9.03,1.51
1,10,7,83,OR,2021,93.88,20.91,31.3,36.32,8.82,1.95,6.89,15.97,80.03,43.97,16.74,80.71,46.09,1.71,0.32,2.05,0.37,7.08,9.74,1.64
1,3,6,84,OR,2021,93.56,17.71,35.47,40.79,8.69,1.82,7.67,15.61,76.32,38.26,18.08,76.81,44.33,1.33,0.3,2.3,0.26,6.22,8.92,2.67
1,4,16,85,OR,2021,94.72,18.81,32.34,37.74,8.41,1.83,7.1,14.87,78.19,39.39,17.27,79.09,45.77,1.18,0.3,2.25,0.27,7.38,9.65,1.94
1,9,12,86,OR,2021,94,19.19,32.9,36.94,9.21,1.9,7.02,15.93,80,43.14,16.89,79.87,45.73,1.51,0.31,2.46,0.3,7.11,9.64,2.18
1,6,14,87,OR,2021,94.18,17.68,33.25,38.36,8.52,1.64,7.22,14.45,76.84,37.66,17.1,78.13,44.57,1.41,0.29,2.25,0.29,7.21,9.6,3.19
