Loc,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
ID_19,20320,Higest 360,4,94.73463,24.93492,28.84465,34.20883,11.93799,1.90335,4.61588,15.79725,81.69141,17.53144,83.54703,1.45891,0.38975,3.15262,0.35554,6.00898,7.69667,2.55513
ID_19,20405,Higest 360,4,94.88849,26.43861,27.25908,32.15977,12.28579,1.91542,3.95893,15.159,82.74036,16.67845,84.79117,1.51002,0.3934,2.93376,0.38479,6.79911,8.78389,2.90844
ID_19,20411,Vernal FD2,4,94.71552,26.14177,27.85398,32.50457,11.7037,1.90994,4.39952,16.05727,83.51614,17.90598,85.00391,1.34623,0.40786,3.19309,0.38258,6.01448,7.27937,2.32635
ID_19,20419,ABI 700 FD6,4,94.70555,26.2368,28.69258,33.33986,11.23266,1.77699,4.61687,15.57792,81.61024,17.6638,83.955,1.47076,0.39156,2.92673,0.39728,6.82863,7.99262,2.38159
ID_19,20502,Higest 360,4,94.78722,25.10344,27.78006,32.73754,11.45179,1.84443,4.47234,15.26569,82.31171,16.9743,83.81337,1.36061,0.38274,2.99728,0.36969,6.96281,8.42315,2.97373
ID_19,20504,Vernal FD2,4,94.7676,25.93825,27.90046,33.56279,11.87128,1.84476,4.48033,15.96746,82.71182,17.94543,84.38947,1.40164,0.40109,3.07986,0.3729,6.11076,7.85312,2.58357
ID_19,20615,Vernal FD2,4,95.02724,26.75665,28.26651,34.21231,13.25459,1.86709,3.9874,16.37605,82.70606,17.87572,84.7039,1.50943,0.41119,2.97615,0.37615,5.36674,7.54895,2.75787
ID_19,20616,Higest 360,4,94.95815,26.88133,27.6705,32.5346,11.49622,1.9458,4.37849,16.15358,84.31042,17.67258,85.35573,1.44346,0.41055,2.98865,0.39262,6.30524,7.70809,2.51522
ID_19,20618,Maverick FD1,4,94.49088,30.05651,22.86285,26.44427,12.24007,2.00466,3.33353,14.16106,87.98885,15.94125,89.2378,1.6175,0.41706,2.82466,0.44576,7.64206,9.21112,2.10414
ID_19,20714,Higest 360,4,94.73145,25.78997,28.21916,33.65948,12.10752,1.86928,4.37492,15.60759,82.04124,17.33771,83.78671,1.4569,0.39395,3.04756,0.36194,6.48961,8.29498,2.84462
ID_19,20720,Vernal FD2,4,95.00543,26.90873,27.84287,33.80452,13.20864,1.82945,3.92339,16.34035,82.81438,17.48604,84.967,1.47895,0.41345,2.95942,0.39259,5.45127,7.7539,2.71289
ID_19,20811,Vernal FD2,4,94.81694,25.43981,29.74064,35.38686,11.70722,1.67744,4.73519,16.85124,80.94007,18.60077,83.32898,1.3641,0.39998,3.15629,0.36916,6.27901,7.87274,2.23525
ID_19,20816,Higest 360,4,94.85303,27.74924,27.17424,31.72141,11.70254,1.81838,4.10668,16.02243,84.09789,17.51405,85.72997,1.41471,0.41337,2.89063,0.41553,6.65947,8.00237,2.47165
ID_19,20913,Vernal FD2,4,94.80743,25.45459,29.54261,35.0802,11.89392,1.67889,4.635,16.74852,81.10809,18.61685,83.46835,1.34479,0.39926,3.26131,0.36312,6.05142,7.5793,2.36774
ID_19,20919,Higest 360,4,94.73188,25.37587,27.27948,31.71457,11.45219,1.85355,4.41806,15.23339,83.17125,16.84957,84.6366,1.38219,0.3876,2.96627,0.38254,7.10116,8.47789,2.90612
ID_19,21004,Vernal FD2,4,94.95528,26.75267,28.15114,34.27129,12.80181,1.82795,4.12209,16.43347,82.57916,17.82777,84.74922,1.47528,0.41145,3.00262,0.38288,5.55815,7.76009,2.49132
ID_19,21013,Higest 360,4,94.67629,29.31084,24.66317,28.92006,11.45226,1.94851,3.84669,14.94691,86.24133,16.84958,87.4717,1.47916,0.42257,2.94251,0.42548,7.0496,8.10849,2.6464
ID_19,21104,Vernal FD2,4,94.71766,28.13774,26.07469,31.22964,12.10388,1.78039,3.91974,15.18645,83.91762,17.25127,85.95014,1.49946,0.40364,3.01414,0.39402,6.75963,8.29087,2.64104
ID_19,21109,Higest 360,4,94.84509,28.17016,25.7798,30.10802,12.21391,1.90252,3.83766,15.29387,84.8905,17.03522,86.54217,1.50361,0.41168,3.08512,0.41104,6.80476,8.18176,2.67204
OR_19,30103,E: 201,2,94.27052,19.53527,35.49018,42.31453,10.04851,1.88005,6.02576,16.97231,74.29308,20.52906,78.09553,1.11366,0.34557,3.47261,0.29815,5.41453,6.0348,3.13373
OR_19,30120,E: 202,2,94.43314,20.11096,35.61075,42.30037,10.14182,1.88515,6.00478,15.8861,73.7419,19.98185,77.6663,1.19826,0.32419,3.29284,0.29956,5.66838,5.99166,3.26837
OR_19,30210,E: 201,2,94.20609,20.01763,34.9688,41.85058,10.09211,2.09772,5.81303,16.6625,75.19342,20.43147,78.83276,1.15718,0.35791,3.44539,0.30371,5.0528,5.72921,3.57674
OR_19,30217,E: 202,2,94.19648,22.06803,30.64402,36.35498,9.53844,2.05588,4.99679,15.01667,78.77229,17.46224,81.27524,1.35501,0.33534,2.64245,0.36782,6.85189,7.39357,4.08268
OR_19,30309,E: 202,2,94.17609,22.50271,31.13613,37.18843,9.30992,2.10448,5.17442,15.0903,78.44839,18.19124,80.97568,1.22236,0.35478,2.67336,0.37169,6.54311,6.84088,4.2011
OR_19,30311,E: 144,2,94.16348,22.24869,30.95228,37.15819,9.0758,2.16206,5.15167,14.75878,78.21433,18.09776,80.70069,1.22791,0.34919,2.71595,0.35425,6.27039,6.57387,4.39415
OR_19,30317,E: 104,2,94.39672,22.54606,31.88356,37.38365,9.69432,2.13522,5.24955,15.67083,78.41753,18.50568,80.90854,1.28199,0.36136,2.91665,0.35616,6.36849,6.70094,3.72808
OR_19,30320,E: 201,2,93.89858,22.61266,32.1875,39.60334,9.98961,2.25205,5.43436,15.73678,77.02778,19.9605,80.52906,1.33009,0.36815,3.14849,0.36271,5.38377,5.86517,3.60241
OR_19,30406,E: 201,2,93.70294,23.16816,30.78825,37.48487,10.10831,2.3471,5.13339,14.95417,78.4432,19.10983,81.59341,1.31654,0.37398,3.11589,0.36498,5.43354,5.93495,4.10111
OR_19,30410,E: 44,2,94.10877,20.87214,35.50134,42.61267,10.58415,1.90545,5.94758,16.45841,74.10802,20.35215,78.0493,1.24883,0.36103,3.39283,0.32119,5.3585,6.03345,3.26469
OR_19,30413,E: 202,2,94.5086,21.51438,31.68997,38.56546,9.47053,2.04315,5.39658,15.174,77.40652,17.89942,79.65511,1.25829,0.33683,2.66944,0.35989,6.75169,7.26241,4.01305
OR_19,30414,E: 112,2,94.0904,22.60444,31.03173,36.2084,10.60048,2.1531,4.96887,14.92579,78.80234,18.55847,81.91608,1.36918,0.36444,3.28137,0.35381,6.16726,6.87818,3.63527
