Cutting,ID,block,position,gen,Name,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,Ca,P,Mg,K,Starch,Su_ESC,Su_WSC,TTNDFD
1,30106,1,6,192,SW5210,OR,2019,93.64741,20.14812,35.0765,43.54955,9.829754,2.126614,7.049223,1.132266,0.2981665,0.2633513,2.794664,1.705086,6.085982,6.710249,42.63171
1,30107,1,7,145,26659_5269,OR,2019,94.27347,20.3222,36.17352,44.94943,9.204889,1.951271,7.461811,1.150465,0.2872564,0.2433908,2.665206,1.155277,6.117703,7.354264,42.817
1,30108,1,8,48,502462,OR,2019,93.74673,20.88655,34.57774,43.54166,9.835242,1.992718,7.049155,1.138677,0.3085252,0.2623979,2.67482,1.739519,5.746412,6.424584,43.81388
1,30109,1,9,74,452478,OR,2019,93.76747,21.55718,35.76634,44.19316,9.963428,2.025946,7.055305,1.225071,0.3221291,0.2799669,2.59573,1.106376,5.256471,6.856366,46.87238
1,30110,1,10,159,AFX003,OR,2019,93.92838,21.19312,29.91933,39.10702,9.121949,2.223804,6.006732,1.09262,0.2914013,0.2324292,2.676314,2.456618,7.274977,7.975574,46.04098
1,30111,1,11,176,LS202,OR,2019,93.89942,22.05652,33.68331,41.6568,10.30417,2.164102,6.763942,1.216237,0.3115687,0.2703402,2.850476,1.42083,6.216942,7.518293,49.93433
1,30112,1,12,95,467902,OR,2019,93.29625,21.36018,31.15129,40.6266,9.242005,2.158417,6.126047,1.121398,0.3056084,0.2475928,2.607968,2.201674,6.572948,7.29597,45.2008
1,30113,1,13,190,55V48,OR,2019,94.02729,20.3005,36.67695,45.23563,10.00946,1.908137,7.526726,1.215458,0.2920987,0.2666362,2.801692,0.955266,5.745166,6.879171,44.03586
1,30114,1,14,81,452437,OR,2019,93.31937,21.48591,36.07262,44.89293,10.46886,1.934035,7.19632,1.128284,0.3337247,0.2923637,2.70059,1.599003,5.031041,5.776488,46.52672
1,30115,1,15,167,CiscoII,OR,2019,93.82171,20.62484,36.14021,44.295,9.943227,2.169159,7.228224,1.167394,0.3058377,0.2568422,2.856382,1.178889,5.181306,6.955508,44.33799
1,30116,1,16,123,467915,OR,2019,93.59402,21.91489,32.96072,42.74964,9.855721,2.029128,6.627492,1.131428,0.317119,0.2595747,2.57197,1.752224,5.967617,6.73549,45.56708
1,30117,1,17,46,499546,OR,2019,94.16951,20.99731,36.28593,44.65413,9.638396,1.994873,7.218138,1.153608,0.3110836,0.246416,2.901259,0.9143089,5.572319,7.209497,47.12194
1,30118,1,18,160,PGI529,OR,2019,92.96147,22.91452,32.59208,40.03175,10.39941,2.38192,6.37116,1.285909,0.3280406,0.3187283,2.686816,1.495463,5.297499,6.18939,45.63255
1,30119,1,19,18,502477,OR,2019,94.25186,19.30933,37.63961,47.52491,9.019507,1.766572,7.905294,1.118046,0.2699934,0.2229462,2.611967,0.9964017,6.236216,7.073323,40.79903
1,30120,1,20,202,Hi-Gest360,OR,2019,93.31277,21.4636,32.04797,41.72883,9.238803,2.039733,6.451263,1.094404,0.3051902,0.2319621,2.575582,1.925159,6.490161,7.302885,43.43486
1,30201,2,1,178,LS605,OR,2019,93.6045,21.12954,36.47052,44.77806,10.2606,1.926012,7.627564,1.194004,0.2989866,0.2720676,2.744673,1.189962,5.234777,6.070578,43.23859
1,30202,2,2,121,467922,OR,2019,93.49797,21.48116,35.649,44.16208,10.0839,2.051526,7.131826,1.141623,0.330246,0.2872679,2.639097,1.757733,6.034156,6.174346,44.17401
1,30203,2,3,173,AFX018,OR,2019,93.92581,20.55907,36.35068,45.15248,9.686125,1.788724,7.447227,1.181082,0.2928745,0.2678127,2.6706,0.9728583,6.469361,6.733758,43.31234
1,30204,2,4,65,212104,OR,2019,93.57037,22.92845,32.35361,40.29461,10.51958,2.21251,6.653508,1.191711,0.3146661,0.2880506,2.606933,2.204836,6.726683,6.826533,45.68163
1,30205,2,5,181,54Q29,OR,2019,94.16343,20.90501,35.49268,43.32924,9.682334,1.995788,7.363609,1.241307,0.2859151,0.262264,2.741317,1.019534,5.631959,7.462446,44.94718
1,30206,2,6,25,516791,OR,2019,93.76778,23.23703,30.06367,37.75425,10.3338,2.251072,6.230391,1.199003,0.3160968,0.268106,2.761372,2.227795,6.289467,7.169467,45.71746
1,30207,2,7,153,Wren,OR,2019,94.03547,21.6217,34.67212,43.05171,9.256519,2.066476,6.989156,1.181352,0.3060687,0.2473838,2.799262,1.010725,6.230034,7.528083,45.59018
1,30208,2,8,40,468056,OR,2019,93.72464,21.12244,32.66628,41.90341,9.129396,2.032403,6.373302,1.009856,0.3145683,0.2136131,3.028772,1.814509,6.047821,6.950246,45.40774
1,30209,2,9,78,452475,OR,2019,93.59125,24.36247,33.10139,40.54483,10.26805,2.268446,6.365246,1.270704,0.3539196,0.3163303,2.615693,0.9181061,4.978455,6.769533,51.21044
1,30210,2,10,201,22338_ VernalFD2,OR,2019,94.09172,20.19929,35.11087,44.65623,9.091464,1.979454,7.044892,1.069697,0.3048796,0.2225811,2.722546,1.639664,7.177716,7.221489,44.40049
1,30211,2,11,179,LS206,OR,2019,93.81281,21.37852,34.614,43.81509,9.169683,1.857878,7.137335,1.220481,0.297139,0.276348,2.478772,1.085057,6.830983,7.184221,44.56006
1,30212,2,12,21,502482,OR,2019,93.16196,22.05301,32.0664,41.19817,9.375716,2.123717,6.360837,1.119012,0.3097238,0.2393354,2.668123,1.745212,6.027047,6.974323,45.0442
1,30213,2,13,59,278705_FERAX,OR,2019,93.85049,21.97973,34.15667,42.65956,9.617867,2.012322,6.761731,1.23599,0.3094811,0.2914645,2.550571,1.143874,6.020684,7.008569,46.21895
1,30214,2,14,92,340123,OR,2019,93.53803,19.14108,35.63536,45.18074,9.281345,1.989673,7.150218,1.134606,0.2808197,0.2437766,2.669543,1.588979,6.308171,6.393115,42.76361
1,30215,2,15,27,499540,OR,2019,93.55444,21.4553,35.41285,43.69108,10.12556,1.924408,7.023677,1.257411,0.3146231,0.3219592,2.419086,1.218016,5.864016,6.507535,46.64145
1,30216,2,16,193,SW5213,OR,2019,93.64362,21.12547,33.64447,43.38514,8.449619,2.087355,6.657332,1.123321,0.2999445,0.2258955,2.687897,1.154596,6.870193,7.079021,42.75227
1,30217,2,17,202,Hi-Gest360,OR,2019,93.80914,23.3382,33.03093,40.30898,10.38206,2.352051,6.698945,1.352134,0.311631,0.3067625,2.492102,1.105995,4.940583,7.34436,46.6158
1,30218,2,18,94,467901,OR,2019,93.49586,22.02584,34.4276,43.17618,10.69351,2.043704,6.892985,1.207443,0.3283893,0.2939737,2.605992,1.500708,5.999261,6.422184,48.03836
1,30219,2,19,99,467947,OR,2019,93.69717,21.86934,35.00743,44.25274,9.829777,1.862655,7.150431,1.225438,0.3095032,0.2858299,2.334179,1.251135,6.654182,7.064618,45.38101
1,30220,2,20,51,491398,OR,2019,93.40418,21.45241,33.10956,42.9119,9.391115,2.070878,6.667422,1.10827,0.3091196,0.2490449,2.459558,1.768901,6.343334,6.880311,43.47625
1,30301,3,1,139,464740,OR,2019,93.98752,21.58983,34.80814,43.57824,9.744565,1.922084,7.095311,1.117776,0.3010268,0.2448067,2.47066,1.788963,6.650899,7.263849,45.08013
1,30302,3,2,113,22278,OR,2019,93.90301,20.27738,33.93017,43.09697,9.501082,2.044662,6.761193,1.120286,0.2954568,0.2476023,2.641111,1.910248,7.185439,7.349582,44.07035
1,30303,3,3,183,55V12,OR,2019,94.20986,20.35148,34.82674,44.06236,8.982517,2.019925,7.234641,1.194374,0.2744764,0.2353573,2.425843,1.215614,6.303811,7.513102,41.4018
1,30304,3,4,37,468011,OR,2019,93.12437,23.59588,32.80515,40.69767,10.99099,2.187998,6.339586,1.204793,0.3518442,0.3079965,2.703807,1.712524,6.082434,6.106869,48.23832
1,30305,3,5,189,55Q27,OR,2019,94.26863,21.70828,34.53431,42.55746,10.20868,2.07029,7.167173,1.23032,0.2922888,0.2629642,2.55672,1.300074,5.836608,7.570025,45.31057
1,30306,3,6,84,440503,OR,2019,93.85793,18.90088,35.24227,44.72991,9.016299,1.989262,7.259794,1.037535,0.2701339,0.238755,2.438219,2.337027,6.640179,7.244432,39.98824
1,30307,3,7,133,452599,OR,2019,93.47334,23.10219,33.55816,41.51144,10.44742,2.129858,6.58594,1.280088,0.33269,0.321808,2.490126,1.318233,5.659705,6.52472,48.33007
1,30308,3,8,187,SW3406,OR,2019,93.87582,20.8999,31.34708,40.6022,8.592151,2.246658,6.108285,1.11934,0.2906689,0.2442992,2.50412,2.1876,7.734993,7.740824,43.40739
1,30309,3,9,202,Hi-Gest360,OR,2019,94.30716,24.09079,32.89183,40.17842,10.30771,2.241326,6.515626,1.272687,0.3191494,0.2794123,2.655011,0.9253107,5.344289,7.585712,49.31227
1,30310,3,10,110,22333_Sutter,OR,2019,93.6357,22.78488,31.27849,39.51403,9.525351,2.279409,6.254117,1.179523,0.3135971,0.2609125,2.663635,1.954971,6.3428,6.991903,44.24715
1,30311,3,11,144,22277_5246FD3,OR,2019,93.73859,24.10751,33.3271,40.14252,10.1569,2.210895,6.55078,1.282571,0.3338552,0.31007,2.620886,1.025807,5.345788,6.965413,49.61382
1,30312,3,12,79,452474,OR,2019,93.27801,23.16309,34.37502,43.06986,10.55065,2.127761,6.523167,1.125891,0.355084,0.3062351,2.751213,1.582323,5.183447,5.854976,49.02048
1,30313,3,13,195,54Q14,OR,2019,93.45094,22.55507,34.36726,42.04263,9.941785,2.291232,6.86558,1.225691,0.3243952,0.2933538,2.592741,1.43744,5.032808,6.733184,44.4054
1,30314,3,14,77,452477,OR,2019,93.6955,22.61355,32.93129,41.95651,9.853894,2.02834,6.350756,1.143099,0.3366838,0.2640761,2.843186,1.462555,5.963091,6.657045,48.5064
1,30315,3,15,54,340117,OR,2019,93.90993,20.20359,35.19051,42.59283,10.64802,1.943355,7.731536,1.359469,0.2558295,0.2624202,2.716046,1.442907,6.212498,7.311341,41.67008
1,30316,3,16,161,Rugged,OR,2019,93.93943,21.42484,30.48634,39.66715,8.888829,2.271272,6.017421,1.107674,0.2968317,0.2400639,2.507885,2.408602,7.2484,7.964779,44.62093
1,30317,3,17,104,22287_ArcherFD5,OR,2019,93.96726,24.71251,32.22631,39.69539,9.674786,2.251622,6.567232,1.252388,0.329371,0.2704267,2.656986,0.9417776,5.854303,7.153565,46.53053
1,30318,3,18,177,LS302,OR,2019,93.86064,22.595,32.80547,40.70197,10.05607,2.20809,6.697289,1.217604,0.3189516,0.2786058,2.729163,1.728277,6.439098,6.659717,45.1083
1,30319,3,19,4,172982,OR,2019,94.21974,19.63059,37.73766,46.8307,9.691025,1.811765,7.891036,1.159443,0.2819458,0.2433907,2.585012,1.334727,6.182765,7.467543,43.1465
1,30320,3,20,201,22338_ VernalFD2,OR,2019,93.8515,21.25806,33.98031,43.71708,9.125075,2.10943,6.844368,1.117816,0.3085609,0.2317263,2.630971,1.562055,5.868106,6.629336,43.5358
1,30401,4,1,108,22339_Vernema,OR,2019,93.41397,22.21023,34.9106,43.49108,10.17898,1.916079,7.156812,1.247268,0.3189056,0.2907895,2.589419,1.124344,5.93767,6.191065,44.78393
1,30402,4,2,197,5472,OR,2019,93.66096,19.66963,34.71177,44.11707,9.215399,1.977561,7.018588,1.128432,0.2926061,0.236522,2.728886,1.68178,6.010085,6.79374,41.55986
1,30403,4,3,100,467936,OR,2019,93.44404,22.88542,33.64226,42.3001,10.05418,2.064251,6.605888,1.208864,0.337035,0.2776293,2.686184,1.225104,6.348637,6.693495,47.47919
1,30404,4,4,49,467963,OR,2019,94.08168,21.45725,32.95314,42.00703,10.43589,2.189593,6.424144,1.159268,0.3186925,0.2688435,2.579342,2.057371,7.004185,7.440577,49.03851
1,30405,4,5,15,467959,OR,2019,94.01624,20.66696,34.36771,44.4634,8.626154,2.010699,7.042331,1.094405,0.284336,0.2324051,2.36532,1.381881,7.134526,7.758232,41.52417
1,30406,4,6,201,22338_ VernalFD2,OR,2019,93.67567,22.53089,34.3349,42.20573,11.38571,2.135044,6.802353,1.250622,0.3439295,0.3081768,2.668322,1.656072,5.81567,6.377243,49.72577
1,30407,4,7,13,467953,OR,2019,93.89572,22.62836,33.32499,41.72845,9.312649,2.157333,6.774448,1.194169,0.3187103,0.2537648,2.620027,1.320116,6.227208,7.411811,45.54676
1,30408,4,8,63,244317,OR,2019,93.76119,22.94467,33.13647,41.7266,10.21317,2.260176,6.655679,1.279327,0.3380686,0.2877395,2.540131,1.286208,5.682182,6.163684,46.31798
1,30409,4,9,191,SW42032,OR,2019,93.89127,20.88639,34.66106,43.40322,9.420303,2.01815,7.001918,1.226428,0.2943254,0.2612963,2.667134,1.083297,6.155561,7.227797,44.85577
1,30410,4,10,44,Legend_FD4,OR,2019,93.93246,21.52472,34.53996,43.93081,9.382589,1.952351,7.00643,1.156982,0.3142595,0.2335533,2.79489,1.319264,5.531272,6.404629,43.31092
1,30411,4,11,102,22328_Ranger,OR,2019,93.40001,22.58005,33.74778,42.8781,9.884047,1.850322,6.875785,1.273606,0.3232016,0.2773411,2.547108,0.899585,5.667284,6.301854,44.36817
1,30412,4,12,115,467908,OR,2019,93.76462,22.65354,32.88859,40.57296,9.707802,2.254311,6.582685,1.273011,0.3275656,0.2768567,2.782035,1.413923,5.938652,6.742735,46.37848
1,30413,4,13,202,Hi-Gest360,OR,2019,93.61155,22.67257,33.37168,41.68029,10.24933,2.282189,6.672038,1.228652,0.3194484,0.2860065,2.548302,1.408533,5.479647,6.992795,47.74304
1,30414,4,14,112,22304_Maverick_FD1,OR,2019,94.0144,23.47011,31.55271,40.13803,9.647717,2.34155,6.173794,1.158305,0.3395025,0.250519,2.790466,1.518119,6.330773,7.093834,47.30835
1,30415,4,15,131,465739_Guron,OR,2019,94.17053,17.91524,37.7004,47.64172,9.023273,1.731951,7.934571,1.097126,0.2518037,0.2389071,2.342377,1.747996,6.925251,7.607553,40.18512
1,30416,4,16,85,430563,OR,2019,93.76851,24.33992,30.79924,39.47135,9.745383,2.332951,5.813665,1.187756,0.3606004,0.2550094,2.800523,1.144306,6.335906,6.896023,51.24305
1,30417,4,17,126,464738,OR,2019,93.43684,22.98949,34.22276,42.78956,9.841843,2.04161,6.594707,1.201018,0.3434221,0.2986765,2.582475,0.942897,5.742515,6.556202,49.27288
1,30418,4,18,67,206110,OR,2019,93.98302,21.85604,33.22672,41.60798,9.708588,2.359616,6.703663,1.211822,0.3096436,0.2556284,2.598377,1.452099,5.48196,6.6435,42.66936
1,30419,4,19,47,502424,OR,2019,93.92298,21.93098,33.24289,41.96757,9.375777,2.104505,6.651576,1.230045,0.3064971,0.2743106,2.498039,1.220522,6.35397,7.427245,46.74072
1,30420,4,20,182,5432,OR,2019,93.92488,22.24186,31.52351,40.56813,9.339677,2.183734,6.415364,1.156393,0.3159017,0.2474709,2.565011,1.912148,6.140002,7.125485,43.7999
1,30501,5,1,75,452480,OR,2019,93.62708,24.88316,32.76388,40.8924,10.00744,2.101526,6.680299,1.237498,0.3529941,0.3036772,2.394609,1.08607,5.917253,6.669671,47.10965
1,30502,5,2,171,AFX016,OR,2019,94.19255,20.64515,33.03406,42.68445,9.330963,2.043689,6.693834,1.144435,0.2938443,0.2236309,2.675917,1.555595,7.238832,7.434509,45.83916
1,30503,5,3,154,BlueJayHR,OR,2019,93.60722,21.66678,34.9885,44.71102,9.397038,1.994523,7.14627,1.141529,0.3148479,0.2719815,2.456336,1.318696,6.147684,6.672719,45.9142
